"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured.Start.Date","Occured.End.Date","Occured.Start.Time","Occured.End.Time","Stand_inc"
"1891","Information / Damage to Vehicle","901 E. 58th St. ","Public Way","2/5/2014","16:45","Minor damage to UC owned vehicle reported","Closed","D00125","2/5/2014",NA,"16:30",NA,"DAMAGE TO PROPERTY"
"1892","Information / Damage to Vehicle","5300 S. Ingleside",NA,"10/30/2015","18:25","Oil pan of UC owned vehicle damaged while driving over uneven pavement and striking utility hole cover protruding from the public way","Closed","E00718","10/30/2015",NA,"18:25",NA,"DAMAGE TO PROPERTY"
"1893","Information / Damage to Vehicles","6054 S. Drexel",NA,"2/27/2014","9:50","During an inspection, equipment in two UC owned vehicles was found to be damaged","Open","D00202","2/25/2014","2/27/2014","19:10","21:55","DAMAGE TO PROPERTY"
"1894","Information / Death Investigation","54th St. between Dorchester and Blackstone",NA,"6/18/2016","10:20","As a result of a well-being check CPD officers found two people deceased in an off-campus private residence / CPD case HZ312763","CPD","16-00516","6/18/2016",NA,"10:20",NA,"WELL BEING CHECK"
"1895","Information / Death Investigation","Cornell between 53rd & 54th",NA,"8/1/2017","10:24","Individual found deceased in apartment in private apartment building off campus / CPD investigation JA372360","CPD","17-00638","8/1/2017",NA,"9:25",NA,"OTHER"
"1896","Information / Death Investigation","52nd St. between Woodlawn & Kimbark",NA,"4/16/2017","7:59","Individual found deceased in off-campus private apartment / CPD case JA226790","CPD","17-00304","4/16/2017",NA,"7:59",NA,"OTHER"
"1897","Information / Death Investigation","1414 E. 59th St. ","I-House","2/15/2014","16:09","Occupant of room found deceased / CPD investigation HX152454","CPD","D00163","2/7/2014","2/15/2014","21:50","16:05","OTHER"
"1898","Information / Death Investigation","5550 S. Dorchester",NA,"2/13/2017","9:50","Individual found deceased at home / CPD death investigation","CPD","17-00132","2/13/2017",NA,"9:50",NA,"OTHER"
"1899","Information / Death Investigation","Kimbark between 57th & 58th",NA,"1/24/2016","11:48","Individual found deceased in off-campus private residence / Death investigation by CPD / CPD case HZ126858","CPD","16-00090","1/24/2016",NA,"11:48",NA,"OTHER"
"1900","Information / Death Investigation","Kimbark between 57th & 58th",NA,"1/20/2018","11:41","Individual found deceased in his apartment / CPD case JB122988","CPD","18-00070","1/20/2018",NA,"11:41",NA,"OTHER"
"1901","Information / Death Investigation","Greenwood between 53rd & 54th",NA,"3/15/2014","22:38","Individual found deceased at off campus private property / CPD HX186513","CPD","D00259","3/15/2014",NA,"22:38",NA,"OTHER"
"1902","Information / Death Investigation","6031 S. Ellis ","Granville-Grossman RH","4/25/2016","13:49","Staff members found person deceased in a 9th floor washroom / CPD death investigation HZ239575","CPD","16-00350",NA,NA,"13:45",NA,"OTHER"
"1903","Information / Death Investigation","5454 S. Shore Dr. ","CDIS","11/22/2016","8:57","Individual found deceased / CPD case HZ524921","CPD","16-01046","11/22/2016",NA,"8:25",NA,"OTHER"
"1904","Information / Death Investigation","Woodlawn between 56th & 57th",NA,"4/19/2015","16:23","Individual found deceased in off campus residence / CPD case HY228203","CPD","E00251","4/18/2015","4/19/2015","22:00","16:00","OTHER"
"1905","Information / Deceptive Practice","850 E. 61st St.",NA,"12/4/2016","23:53","Investigation into possible fraud / suspicious activity situation","Open","16-01085","11/23/2016","12/4/2016","8:00","11:50","OTHER"
"1906","Information / Deceptive Practice","6031 S. Ellis ","Granville-Grossman RH","5/4/2015","14:14","Deceptive practice investigation / CPD case HY232077","CPD","E00281","4/19/2015",NA,"11:00","23:00","OTHER"
"1907","Information / Deceptive Practice","Woodlawn between 54th & 55th",NA,"12/18/2016","10:37","Individual was notified an unauthorized individual used victim's credit card information to make purchases of merchandise / Victim is in possession of the card / CPD case","CPD","16-01120","12/17/2016",NA,"19:10","21:40","ROBBERY"
"1908","Information / Deceptive Practice","55th Pl. between Blackstone & Harper",NA,"6/27/2014","15:14","Individual reported an internet deceptive practice attempt involving the sublease of apartment / CPD case","CPD","D00619","6/17/2014","6/26/2014","10:00","18:00","OTHER"
"1909","Information / Deceptive Practice","5640 S. Ellis ","Eckhardt Research Center","12/4/2015","14:27","Unknown person gained victim's personal information via email in a fraud attempt / Victim to contact other law enforcement agency","Closed","E00809","11/14/2015",NA,"9:00",NA,"OTHER"
"1910","Information / Deceptive Practice","901 E. 58th St. ","Mitchell ER","11/2/2016","14:41","Former patient attempted to obtain codeine at an out of area drug store with a forged prescription / CPD case","CPD","16-00974","11/2/2016",NA,"10:00",NA,"NARCOTICS"
"1911","Information / Disorderly Conduct","1116 E. 59th St. ","Harper Library","7/5/2017","12:15","Library visitor became disorderly and refused to obey library rules / Peace restored by UCPD","Closed","17-00562","7/5/2017",NA,"12:10",NA,"DISTURBANCE"
"1912","Information / Disturbance","6300 S. University ","UC Charter School","1/30/2018","8:47","Domestic related disturbance between mother and child / Peace restored / CPD case JB134876","CPD","18-00103","1/30/2018",NA,"8:30",NA,"DISTURBANCE"
"1913","Information / Disturbance","5487-91 S. Hyde Park / Fraternity House",NA,"4/10/2015","23:39","Complaints of loud party / Peace restored","Closed","E00232","4/10/2015",NA,"23:40",NA,"DISTURBANCE"
"1914","Information / Disturbance","901 E. 58th St.","Mitchell ER","2/20/2014","23:26","UCPD officers assisted staff with an unruly patient / Peace restored","Closed","D00184","2/20/2014",NA,"23:26",NA,"DISTURBANCE"
"1915","Information / Disturbance","5807 S. Woodlawn ","Booth School","7/17/2015","18:57","Unauthorized subject entered the building a created a disturbance / Peace restored upon arrival of UCPD officers / Subject warned of trespassing and sent on his way","Closed","E00450","7/17/2015",NA,"18:57",NA,"DISTURBANCE"
"1916","Information / Disturbance","4200 S. Lake Park ","Public Way","10/8/2017","14:19","Officers responded to a domestic disturbance on the sidewalk off campus / Peace restored","Closed","17-00856","10/8/2017",NA,"14:19",NA,"DISTURBANCE"
"1917","Information / Disturbance","5721 S. Maryland ","Comer Hospital","1/12/2018","10:05","Domestic disturbance between girlfriend and boyfriend / Peace restored","Closed","18-00045","1/12/2018",NA,"10:00",NA,"DISTURBANCE"
"1918","Information / Disturbance","52nd between Drexel & Ingleside",NA,"2/29/2016","23:34","UCPD officers responded to a disturbance between roommates  in off-campus residence / Peace restored","Closed","16-00184","2/29/2016",NA,"23:34",NA,"DISTURBANCE"
"1919","Information / Disturbance","5840 S. Maryland ","Parking Structure","5/24/2015","15:47","Family members engaged in verbal argument / Peace restored","Closed","E00329","5/24/2015",NA,"15:47",NA,"DISTURBANCE"
"1920","Information / Disturbance","Ingleside between 52nd & 53rd",NA,"2/22/2016","1:53","Disturbance between roommates in off-campus private apartment / Peace restored","Closed","16-00167","2/22/2016",NA,"1:30",NA,"DISTURBANCE"
"1921","Information / Disturbance","1447 E. 53rd St.",NA,"6/15/2015","1:39","Disagreement over restaurant bill / Peace restored","Closed","E00382","6/15/2015",NA,"1:39",NA,"DISTURBANCE"
"1922","Information / Disturbance","5730 S. Drexel ","Comer ER","12/31/2014","17:20","Argument between parents of two patients / Peace restored","Closed","D01083","12/31/2014",NA,"17:15",NA,"DISTURBANCE"
"1923","Information / Disturbance","5512-14 S. Hyde Park ","Fraternity","11/6/2014","23:17","UCPD officers responded to calls of loud music / Peace restored","Closed","D00977","11/6/2014",NA,"23:17",NA,"DISTURBANCE"
"1924","Information / Disturbance","5630 S. Ellis ","Max Palevsky","5/10/2015","2:35","Individual created a disturbance in the hallway / Peace restored","Referred","E00295","5/10/2015",NA,"2:35",NA,"DISTURBANCE"
"1925","Information / Disturbance","901 E. 58th St. ","Mitchell Emergency Room","6/2/2016","10:46","Visitor was shouting and creating a disturbance in the ER / Escorted out of ER / Peace restored","Closed","16-00465","6/2/2016",NA,"10:46",NA,"DISTURBANCE"
"1926","Information / Disturbance","5807 S. Woodlawn ","Booth School","7/18/2016","13:09","Contract employees arguing and causing a disturbance in break room / Peace restored","Closed","16-00605","7/18/2016",NA,"12:50",NA,"DISTURBANCE"
"1927","Information / Dog Bite","1355 E. 53rd St. ","Nichols Park","6/7/2017","11:10","Individual walking through the park was bitten by a dog on a leash / Received medical attention / Referred to CPD","CPD","17-00486","6/7/2017",NA,"9:15",NA,"MEDICAL INCIDENT"
"1928","Information / Dog Bite","1749 E. 55th St.",NA,"1/8/2014","22:18","Woman reported she was bitten on the leg by a dog being walked by another person / Refused medical attention / CPD case","CPD","D00016","1/8/2014",NA,"17:00",NA,"MEDICAL INCIDENT"
"1929","Information / Domestic Battery","5500 S. Woodlawn ","Public Way","6/8/2016","22:35","Girlfriend struck boyfriend during an argument in a vehicle parked on the street off-campus / Suspect arrested for battery by CPD / CPD case HZ299317","CPD","16-00487","6/8/2016",NA,"22:35",NA,"BATTERY"
"1930","Information / Domestic Battery","5815 S. Maryland ","Mitchell Hospital","5/3/2015","12:00","Domestic Battery victim transported from 57th & King Dr. with suspect / Suspect also bit victim on the face as they arrived at hospital / Suspect fled before police arrived / CPD case","CPD","E00279","5/3/2015",NA,"10:50",NA,"BATTERY"
"1931","Information / Domestic Battery","Kimbark between 62nd & 63rd",NA,"5/23/2017","13:38","Individual cut on chest during a domestic dispute in private apartment off campus / CPD arrest / CPD case JA275993","CPD / Arrest","17-00420","5/23/2017",NA,"13:20",NA,"BATTERY"
"1932","Information / Domestic Battery","800 E. 55th St. ","Friend Center","7/17/2017","15:54","During a domestic quarrel, girlfriend struck boyfriend in the face with her fist and left before police arrived / CPD on scene / CPD case JA351853","CPD","17-00595","7/17/2017",NA,"15:45",NA,"BATTERY"
"1933","Information / Domestic Disturbance","Drexel between 52nd & 53rd",NA,"8/6/2016","13:20","UCPD officers responded to a domestic situation off-campus / Peace restored","Closed","16-00671","8/2/2016","8/5/2016","22:00","22:30","DISTURBANCE"
"1934","Information / Domestic Disturbance","5645 S. Cottage Grove ","Public Way","9/8/2016","15:00","Domestic disturbance involving boyfriend and girlfriend / Peace restored / CPD case HZ425718","CPD","16-00756","9/8/2016",NA,"14:55",NA,"DISTURBANCE"
"1935","Information / Elevator Entrapment","5706 S. University ","Reynolds Club","5/28/2014","1:13","CFD freed contract employee from stuck elevator","Closed","D00493","5/28/2014",NA,"1:13",NA,"UTILITY INCIDENT"
"1936","Information / Elevator Entrapment","915 E. 60th St. ","Logan Center","9/15/2016","0:04","Employee stuck in elevator between floors / CFD responded and freed individual / No injuries reported","Closed","16-00778","9/15/2016",NA,"0:04",NA,"UTILITY INCIDENT"
"1937","Information / Elevator Entrapment","5801 S. Dorchester ","Cloisters","4/6/2016","21:08","Individual trapped in elevator between floors / CFD responded and freed passenger","Closed","16-00285","4/6/2016",NA,"21:08",NA,"UTILITY INCIDENT"
"1938","Information / Fire","5811 S. Ellis ","Cobb Hall - Exterior","5/24/2016","15:38","UCPD officer used a fire extinguisher to extinguish a smoldering fire in a trash can outside of Cobb Hall / No injuries or property damage reported / CFD responded","Closed","16-00441","5/24/2016",NA,"15:38",NA,"ALARM"
"1939","Information / Fire","4750 S. Cornell ","Park Dist. Property","6/18/2017","22:05","UCPD officer observed a fire in a Chicago Park District trash can off campus / Officer extinguished flames with in-car fire extinguisher / CFD responded","Closed","17-00520","6/18/2017",NA,"22:05",NA,"ALARM"
"1940","Information / Fire","5706 S. University ","Reynolds Club","5/25/2017","20:18","CFD responded to a call of a fire in the rear of the Reynolds Club / Smoke was from charcoal grill / False alarm","Closed","17-00436","5/25/2017",NA,"20:18",NA,"ALARM"
"1941","Information / Fire Alarm","6031 S. Ellis ","Granville-Grossman RH","3/11/2017","2:16","Pull box fire alarm activated / Building evacuated / CFD responded / No fire / Residents returned to the building","Closed","17-00191","3/11/2017",NA,"2:16",NA,"ALARM"
"1942","Information / Forged Prescription","950 E. 59th St. ","Billings Hospital","7/6/2016","14:52","Staff member was notified that an unknown person attempted to obtain controlled substance with a forged prescription on N. Michigan Av. / CPD case","CPD","16-00570","6/21/2016",NA,"7:00","17:00","NARCOTICS"
"1943","Information / Found Narcotics","5700 S. Maryland ","CCD","10/22/2016","1:27","Staff member found a syringe and small packages of heroin in patient's room / Contraband items inventoried at UCPD for proper disposal","Closed","16-00927","10/22/2016",NA,"1:10",NA,"NARCOTICS"
"1944","Information / Harassment by Electronic Means","53rd St. between Woodlawn & Kimbark",NA,"2/14/2017","13:11","A known person has been sending harassing messages via e-mail and phone to the complainant / Referred to CPD","CPD","17-00133","2/9/2017","2/13/2017","22:00","22:00","DISTURBANCE"
"1945","Information / Haz Mat Event","5735 S. Ellis ","Searle Lab","10/7/2016","17:50","2 liters of ammonium hydroxide spilled in lab room 417 / CFD and UC Safety responded, neutralized spill and cleaned area involved / 3 persons present at time of spill declined medical attention / CPD report HZ465429","CPD","16-00863","10/7/2016",NA,"17:50",NA,"ALARM"
"1946","Information / Hit & Run / Personal Injury","5700 S. Maryland ","Public Way","9/29/2015","9:19","Vehicle struck pedestrian in roadway and drove off without stopping / Victim taken to ER for evaluation and treatment / CPD case HY442790","CPD","E00607","9/29/2015",NA,"9:15",NA,"ACCIDENT"
"1947","Information / Homicide","4721 S. Ellis ","Alley","7/17/2016","0:57","2 victims, not affiliated with the University, suffered gunshot wounds as a result of a drive-by shooting off-campus /  One victim died at the scene, second victim transported to the hospital by CFD EMS / Red van seen speeding northbound on Ellis after the shooting / CPD case HZ352140","CPD","16-00602","7/17/2016",NA,"0:45",NA,"HOMICIDE"
"1948","Information / Homicide","5200 S. Cottage Grove ","Public Way","10/25/2017","14:02","CPD and UCPD officers responded to a call of shots fired off campus and found an individual who suffered a gunshot wound to the head / Victim transported to the hospital by CFD EMS / CPD case JA485457","CPD","17-00932","10/25/2017",NA,"14:00",NA,"HOMICIDE"
"1949","Information / Homicide","5000 S. Dorchester",NA,"8/25/2015","18:00","Individual, not affiliated with the University, sitting in a parked car off-campus suffered a fatal gunshot wound to the chest when shots were fired from a vehicle that pulled up next to the victim's car / CPD case","CPD","","8/25/2015",NA,"18:00",NA,"HOMICIDE"
"1950","Information / Homicide","44th St. between Greenwood & University",NA,"9/19/2015","19:30","Two victims, not affiliated with the University, suffered gunshot wounds, one fatal, during a drive-by shooting off-campus / Second victim transported to hospital by CFD EMS / CPD case","CPD","","9/19/2015",NA,"19:30",NA,"HOMICIDE"
"1951","Information / Homicide","5481 S. Cornell ","Cornell Park","12/2/2016","14:55","An individual not affiliated with the University was sitting in Cornell Park located off-campus at 5481 South Cornell Avenue when an unknown individual wearing a ski mask exited a green vehicle approached and fired a weapon striking the victim in the head. The suspect reentered the vehicle and fled northbound on Cornell Avenue. The victim was pronounced dead at the scene of the crime. Chicago police are investigating what appears to have been a targeted attack on the victim. CPD case HZ537248","CPD","16-01080","12/2/2016",NA,"14:55",NA,"HOMICIDE"
"1952","Information / Homicide","841 E. 46th St.",NA,"1/5/2017","23:17","A victim, not affiliated with the University, suffered fatal gunshot wounds while sitting in a parked vehicle off-campus / An unknown suspect fired multiple gunshots into the vehicle before fleeing westbound on 46th St. on foot / CPD is investigating what appears to be a targeted shooting / CPD case JA105744","CPD","17-00019","1/5/2017",NA,"23:15",NA,"HOMICIDE"
"1953","Information / Homicide","6129 S. Cottage Grove",NA,"9/6/2015","2:00","Victim, not affiliated with the University, was fatally shot while attending a party off-campus / CPD case","CPD","","9/6/2015",NA,"2:00",NA,"HOMICIDE"
"1954","Information / Homicide","Ingleside between 62nd & 63rd ","Parking Lot","6/8/2017","22:10","CPD and UCPD officers responded to calls of shots fired off campus found victim suffered multiple gunshot wounds / CPD case JA298661","CPD","17-00495","6/8/2017",NA,"22:10",NA,"HOMICIDE"
"1955","Information / Indecent Exposure","6257 S. Kenwood ","Church Parking Lot","5/22/2014","9:10","Unknown individual exposed himself to a person in a surface parking lot off campus / CPD case HX271640","CPD","D00475","5/22/2014",NA,"9:00",NA,"DISTURBANCE"
"1956","Information / Injured Person","5100 S. Shore Dr. ","Bike Path","5/22/2016","16:33","Cyclist fell from bicycle injuring his chin on bike path off-campus / Transported to ER for treatment","Closed","16-00434","5/22/2016",NA,"16:25",NA,"MEDICAL INCIDENT"
"1957","Information / Lost Property","Cottage Grove between 54th & 55th",NA,"9/25/2016","10:07","Individual reports lost clarinet in off-campus private apartment / Referred to CPD","CPD","16-00822","9/21/2016","9/25/2016","10:00","10:05","OTHER"
"1958","Information / Lost Property","1369 E. 53rd St. ","Caf<e9>","10/10/2016","8:57","Individual reports losing UC ID while in a cafÃƒÂ©","Closed","16-00870","10/10/2016",NA,"11:00","12:00","OTHER"
"1959","Information / Lost Property","55th & Lake Park to 54th & Kenwood",NA,"6/13/2016","10:20","Individual reports losing wallet, containing UC ID, between 55th & Lake Park and 54th & Kenwood","Closed","16-00499","6/12/2016",NA,"22:30","22:45","OTHER"
"1960","Information / Lost Property","6054 S. Drexel",NA,"9/10/2014","14:33","Staff member lost wallet containing UC IDs / CPD case HX423185","CPD","D00793","9/3/2014","9/4/2014","9:00","22:00","OTHER"
"1961","Information / Lost Property","6045 S. Kenwood",NA,"6/22/2016","14:10","Staff member reports losing wallet containing UC ID on CTA bus outside of the UCPD Patrol Area","Closed","16-00525","6/22/2016",NA,"9:10","14:05","OTHER"
"1962","Information / Lost Property","850 E. 61st St. ","UCPD HQ","1/29/2017","14:18","Staff member reports losing wallet with UC ID outside of UCPD patrol area / CPD case","CPD","17-00085","1/28/2017",NA,"14:00","14:05","OTHER"
"1963","Information / Medical Call","5700 S. Blackstone ","Taxi on the Street","2/6/2016","19:52","Individual became ill after ingesting a narcotic substance off campus  /  CFD EMS transported subject to ER for evaluation and treatment / CPD on scene","CPD","16-00136","2/6/2016",NA,"19:52",NA,"MEDICAL INCIDENT"
"1964","Information / Medical Call","5050 S. Lake Shore Dr.",NA,"6/3/2016","17:18","Ill person transported to ER by CFD EMS for evaluation and treatment","Closed","16-00473","6/3/2016",NA,"17:15",NA,"MEDICAL INCIDENT"
"1965","Information / Medical Call","5812 S. Ellis ","Public Way","4/21/2016","19:32","Person suffering from mental illness transported to ER for evaluation and treatment","Closed","16-00337","4/21/2016",NA,"19:32",NA,"MEDICAL INCIDENT"
"1966","Information / Medical Call","5631 S. Kimbark ","Bixler Play Lot","4/18/2016","19:38","Sick person transported to ER for evaluation and treatment","Closed","16-00328","4/18/2016",NA,"19:38",NA,"MEDICAL INCIDENT"
"1967","Information / Medical Call","1005 E. 60th St. ","Burton-Judson RH","11/2/2015","20:04","Ill person transported to ER by CFD EMS for evaluation and treatment","Closed","E00734","11/2/2015",NA,"19:55",NA,"MEDICAL INCIDENT"
"1968","Information / Medical Call","5125 S. Kenwood ","Chicago Arms Apts.","10/3/2015","6:13","Injured person transported to ER by CFD EMS for evaluation and treatment / CPD case HY447758","CPD","E00618","10/3/2015",NA,"3:00",NA,"MEDICAL INCIDENT"
"1969","Information / Medical Call","50th & Lake Shore Dr.",NA,"2/20/2014","19:58","Individual became ill after consuming food made with an unknown ingredient / Left ER after refusing treatment","Open","D00183","2/20/2014",NA,"13:30","19:50","MEDICAL INCIDENT"
"1970","Information / Medical Call","5625 S. Ellis ","Max Palevsky","3/3/2015","0:55","Sick person transported to the ER for evaluation and treatment","Closed","E00154","3/3/2015",NA,"0:50",NA,"MEDICAL INCIDENT"
"1971","Information / Medical Call","58th near Dorchester",NA,"1/7/2014","20:18","Ill person transported to ER by CFD EMS","Closed","D00012","1/7/2014",NA,"20:18",NA,"MEDICAL INCIDENT"
"1972","Information / Medical Call","924 E. 57th St. ","BSLC","6/14/2016","10:04","Individual suffered a seizure / CFD EMS responded, however, subject declined offer of medical treatment","Closed","16-00503","6/14/2016",NA,"9:45",NA,"MEDICAL INCIDENT"
"1973","Information / Medical Call","1025 E. 58th St. ","Swift Hall","9/9/2016","14:38","Sick person transported to ER by CFD EMS for evaluation and treatment","Closed","16-00760","9/9/2016",NA,"14:35",NA,"MEDICAL INCIDENT"
"1974","Information / Medical Call","6031 S. Ellis ","Granville-Grossman RH","12/27/2015","22:46","Individual tripped while walking in the hallway striking head on the wall / Refused medical treatment","Closed","E00868","12/27/2015",NA,"22:30",NA,"MEDICAL INCIDENT"
"1975","Information / Medical Call","Greenwood between 54th & 55th",NA,"7/5/2016","1:35","Individual became ill after consuming alcohol and illegal drugs at a private residence off-campus / Transported to ER by CFD EMS","Closed","16-00564","7/5/2016",NA,"1:35",NA,"MEDICAL INCIDENT"
"1976","Information / Medical Call","5700 S. Blackstone ","Public Way","3/9/2018","11:33","An individual walking on the sidewalk off campus was struck on the head by an unknown object and fell to the ground / CFD EMS transported victim to the hospital for treatment / CPD case","Closed","18-00241","3/9/2018",NA,"11:25",NA,"MEDICAL INCIDENT"
"1977","Information / Medical Transport","Woodlawn between 52nd & 53rd",NA,"12/6/2015","4:14","Ill person transported to ER for evaluation and treatment","Closed","E00815","12/6/2015",NA,"4:14",NA,"MEDICAL INCIDENT"
"1978","Information / Mental Health Transport","6120 S. Ellis ","Public Way","2/26/2016","19:05","Individual was transported to hospital by CFD EMS for mental evaluation and treatment","Closed","18-00195","2/26/2018",NA,"18:50",NA,"MEDICAL INCIDENT"
"1979","Information / Mental Health Transport","54th between Harper & Lake Park",NA,"1/31/2014","19:07","Individual transported to hospital for evaluation and treatment","Closed","D00102","1/31/2014",NA,"19:07",NA,"MEDICAL INCIDENT"
"1980","Information / Mental Health Transport","5493 S. Cornell",NA,"4/27/2017","13:44","Individual transported to ER by CFD EMS for evaluation and treatment","Closed","17-00334","4/27/2017",NA,"13:44",NA,"MEDICAL INCIDENT"
"1981","Information / Mental Health Transport","Stony Island between 57th & 58th",NA,"11/4/2015","13:26","Individual transported to hospital by CFD EMS for evaluation and treatment","Closed","E00739","11/4/2015",NA,"13:26",NA,"MEDICAL INCIDENT"
"1982","Information / Missing Person","5815 S. Maryland ","Mitchell Hospital","5/12/2016","19:11","Patient's spouse reported missing after leaving the hospital and not returning / Missing person later found at home, safe and secure","Closed","16-00396","5/12/2016",NA,"12:30","21:50","OTHER"
"1983","Information / Missing Property","901 E. 58th St. ","Mitchell ER","7/6/2015","13:07","Items of patient's property reported missing","Closed","E00426","6/26/2015","7/5/2015",NA,NA,"OTHER"
"1984","Information / Motor Vehicle Theft","5048 S. Cornell ","Gas Station","11/18/2017","15:28","Unknown suspect entered unattended, unoccupied car parked at pump in gas station with motor running and drove northbound on Cornell / Referred to CPD","CPD","17-01039","11/18/2017",NA,"15:25",NA,"THEFT"
"1985","Information / Motor Vehicle Theft","4900 S. East End / Public Way)",NA,"11/24/2017","14:17","Unknown suspect took victim's purse from car as victim was exiting vehicle off campus / After victim went into nearby building, suspects took victim's 2017 red Acura / CPD case JA523663","CPD","17-01062","11/24/2017",NA,"14:10",NA,"THEFT"
"1986","Information / Motor Vehicle Theft","1225 E. 52nd St.",NA,"2/27/2017","19:42","Individual reported car that had been parked on the street off-campus was taken / CPD case","CPD","17-00163","2/24/2017","2/27/2017","9:00","19:00","THEFT"
"1987","Information / Motor Vehicle Theft","920 E. 61st St. ","Campus Housing","5/22/2016","11:52","A 2015 Subaru SUV taken from area next to apartment building / Referred to CPD","CPD","16-00433","5/21/2016","5/22/2016","21:00","10:00","THEFT"
"1988","Information / Motor Vehicle Theft","4800 S. Lake Park",NA,"2/18/2014","16:38","UCPD officer attempted to stop a car reported stolen to CPD / Driver sped off striking two vehicles in the process / Officer did not pursue vehicle in the interest of public safety / CPD case HX155880","CPD","D00173","2/18/2014",NA,"16:38",NA,"THEFT"
"1989","Information / Motor Vehicle Theft","5048 S. Cornell ","Gas Station","10/13/2017","20:42","Unknown suspects entered an unattended, unsecured car parked at a gas pump and drove off / Keys left in ignition / CPD case JA470348","CPD","17-00878","10/13/2017",NA,"20:30",NA,"THEFT"
"1990","Information / Murder / Aggravated Battery","5611 S. Everett",NA,"6/22/2014","19:23","Two individuals shot, one fatal, by an unknown suspect / CPD case HX314624","CPD","D00597","6/22/2014",NA,"19:20",NA,"HOMICIDE"
"1991","Information / Public Indecency","54th Pl. between University & Woodlawn",NA,"10/18/2017","23:51","An individual performed a lewd act while peeping into window of off campus private apartment building / Suspect fled before arrival of police / CPD case JA476728","CPD","17-00902","10/18/2017",NA,"23:50",NA,"DISTURBANCE"
"1992","Information / Recovered Motor Vehicle","6054 S. Drexel ","Public Way","8/17/2016","9:05","UCPD officer recovered an unoccupied parked vehicle that had been previously been reported stolen to Chicago police / CPD case HZ372040","CPD","16-00692","8/17/2016",NA,"9:05",NA,"OTHER"
"1993","Information / Recovered Vehicle","Dorchester at 62nd",NA,"5/25/2015","22:40","UCPD officers assisted CPD in recovery of vehicle wanted in connection with a robbery outside of UCPD area / Two suspects taken into custody by CPD / CPD case","CPD","","5/25/2015",NA,"22:40",NA,"OTHER"
"1994","Information / Recovered Vehicle","6229 S. Ellis",NA,"8/30/2016","8:59","UCPD officer recovered an unoccupied vehicle parked at the curb that had previously been reported as stolen to CPD / In-car LPR generated / CPD case HZ397848","CPD","16-00724","8/30/2016",NA,"8:59",NA,"OTHER"
"1995","Information / Recovered Vehicle","5645 S. Harper ","Public Way","8/6/2017","12:22","UCPD officer recovered a parked, unoccupied vehicle that had been reported stolen to CPD / CPD case JA378133","CPD","17-00652","8/6/2017",NA,"12:22",NA,"OTHER"
"1996","Information / Robbery","1204 E. 53rd St. ","Bank","2/2/2016","18:05","Unknown suspect entered bank off-campus and took cash from teller / CPD case","CPD","","2/2/2016",NA,"17:40",NA,"ROBBERY"
"1997","Information / Robbery","6200 S, Drexel ","Public Way","4/19/2017","18:01","Two unknown suspects forcibly took a cell phone from a victim walking on the sidewalk off-campus / CPD case JA231291","CPD","17-00319","4/19/2017",NA,"17:50",NA,"ROBBERY"
"1998","Information / Robbery","5400 S. Kenwood ","Pubic Way","8/25/2016","18:27","Unknown suspect approached four individuals on the sidewalk off-campus / Subject searched the four and took cash from one victim before fleeing / No weapon displayed / No injuries reported / CPD case HZ407083","CPD","16-00714","8/25/2016",NA,"18:20",NA,"ROBBERY"
"1999","Information / Robbery","Kimbark between 57th & 58th",NA,"6/14/2017","20:25","Individual walking on the sidewalk off campus was approached by an unknown suspect who struck the victim, took the victim's cell phone and purse before fleeing to a red sedan that drove off in an unknown direction / CPD case JA307242","CPD","17-00514","6/14/2017",NA,"20:20",NA,"ROBBERY"
"2000","Information / Robbery","Kimbark between 54th & 55th",NA,"11/12/2015","21:08","Three unknown suspects forcibly took cash and credit cards from a victim walking on the sidewalk off campus / Victim declined medical attention / CPD case","CPD","","11/12/2015",NA,"21:05",NA,"ROBBERY"
"2001","Information / Robbery","Maryland between 53rd & 54th",NA,"12/11/2017","23:23","Individual entering an off campus private apartment building was followed into the vestibule by an unknown subject who took the victim's wallet and cell phone / Suspect fled to a waiting gray vehicle that drove southbound on Maryland / CPD case JA545769","CPD","17-01120","12/11/2017",NA,"23:15",NA,"ROBBERY"
"2002","Information / Robbery","5454 S. Shore Dr. ","Alley","10/4/2016","22:57","Victim made arrangements with unknown suspect online to sell his iPhone / Suspect was looking at phone in his car and drove off while victim broke side window of car causing injury to right hand / Victim transported to ER by CFD EMS for treatment / CPD case HZ461492","CPD","16-00854","10/4/2016",NA,"22:55",NA,"ROBBERY"
"2003","Information / Robbery","1617 E. 50th Pl. ","Parking Lot","11/25/2017","14:41","Unknown suspect riding in a dark colored SUV reached out of a window and grabbed an iPhone from the hand of a victim walking through a parking lot off campus / CPD case JA524809","CPD","17-01069","11/25/2017",NA,"14:35",NA,"ROBBERY"
"2004","Information / Robbery","53rd at Lake Park",NA,"3/17/2016","13:48","Victim standing on the sidewalk off-campus approached by 4 suspects, one of whom forcibly took her purse before fleeing on foot / Victim reported no injuries / CPD case HZ190731","CPD","16-00234","3/17/2016",NA,"13:45",NA,"ROBBERY"
