"","Incident","Location","Reported","Occurred","Comments / Nature of Fire","Disposition","UCPDI#"
"2841",":","","","","","",""
"2842","Information / Attempt Armed Robbery","1354 E. 50th St. (Public Way)","7/29/16 7:38 AM","7/29/16 7:35 AM","Victim walking on the sidewalk off-campus was approached by 2 unknown suspects, one armed with a weapon / Suspects demanded victim's property, but fled when they observed a police car on patrol / Suspects dropped weapon (air gun) recovered by police / CPD case HZ369236","CPD","16-00644"
"2843","Found Property","5500 S. Ellis (Public Way)","7/29/16 4:58 PM","7/29/16 4:58 PM","Individual found wallet on the sidewalk / Turned over to UCPD for safekeeping","Closed","16-00645"
"2844",":","","","","","",""
"2845","Information / Shots Fired","50th & Drexel","7/30/16 12:01 AM","7/30/16 12:01 AM","CPD and UCPD officers responded to a call of shots fired off-campus in the area of 50th & Drexel / No suspects, injured persons, or property damage found","CPD",""
"2846",":","","","","","",""
"2847","Motor Vehicle Theft","6040 S. Ellis (Edelstone Parking Lot)","7/31/16 9:11 AM","7/31/16 1:30 AM","2003 Dodge Caravan stolen from Edelstone parking lot / Unoccupied van recovered by Norridge, IL PD /","Open","16-00646"
"2848",":","","","","","",""
"2849","Injured Person","6030 S. Ellis (Edelstone)","8/1/16 9:50 AM","8/1/16 9:50 AM","Individual fell from bicycle causing injury to face / Transported to ER by CFD EMS","Closed","16-00647"
"2850","Found Property","5446 S. Greenwood (Stout Park)","8/1/16 10:14 AM","6/21/16 10:00 AM","Individual found a watch in Stout Park / Turned over to UCPD for safekeeping","Closed","16-00648"
"2851","Traffic Crash","920 E. 58th St. (Cummings)","8/1/16 12:29 PM","8/1/16 12:29 PM","UC owned vehicle struck an intercom box in driveway / Property damage only, no injuries reported","Closed","16-00649"
"2852","Theft","970 E. 58th St. (Bookstore)","8/1/16 2:02 PM","7/28/16 9:00 AM to 9:30 AM","Individual took several pairs of headphones from the store without paying / Suspect was arrested by UCPD officers on September 8, 2016 and charged with felony theft. (Ref. 16-00755)","Arrest","16-00650"
"2853","Information / Robbery","5055 S. Lake Shore Dr.","8/1/16 9:53 PM","8/1/16 9:45 PM","Victim walking on the sidewalk off-campus struck by one of two suspects who took his property before fleeing in a waiting vehicle / Victim transported to ER by CFD EMS for treatment / CPD case HZ374454","CPD","16-00651"
"2854","Information","5482 S. Greenwood (Neighborhood Apts.)","8/1/16 10:59 PM","7/13/16 10:50 AM to 6:00 PM","Report of a missing package delivered by FedEx","Closed","16-00652"
"2855",":","","","","","",""
"2856","Theft","1101 E. 56th St. (Max Palevsky Bike Rack)","8/2/16 1:52 PM","8/2/16 1:00 AM to 10:00 AM","Secured bicycle taken from bike rack","Open","16-00653"
"2857","Injured Person","1155 E. 58th St. (Oriental Institute)","8/2/16 4:44 PM","8/2/16 4:44 PM","Visitor tripped over her personal walker, fell to the floor causing injury to right leg / CFD EMS responded and administered first aid","Closed","16-00654"
"2858","Lost Property","5807 S. Woodlawn (Booth School)","8/2/16 6:09 PM","8/2/16 5:05 PM to 5:20 PM","Individual lost Galaxy 6S phone while in the building","Closed","16-00655"
"2859","Traffic Crash","5714 S. Woodlawn","8/2/16 6:22 PM","8/2/16 6:22 PM","UC Shuttle Bus involved in minor property damage traffic crash / No injuries reported","Closed","16-00656"
"2860","Medical Call","1101 E. 56th St. (Max Palevsky RH)","8/2/16 9:25 PM","8/2/16 9:25 PM","Ill person transported to the hospital by CFD EMS for evaluation and treatment","Closed","16-00657"
"2861","Information / Aggravated Battery","5037 S. Drexel (Public Way)","8/2/16 10:03 PM","8/2/16 10:03 PM","An individual suffered a gunshot wound to the buttocks as a result of an apparent drive by shooting on the public way off-campus / A black sedan was seen leaving the scene / Victim transported to ER by CFD EMS / CPD case HZ375827","CPD","16-00658"
"2862",":","","","","","",""
"2863","Assist Other Agency / Recovered Vehicle","5334 S. Woodlawn","8/3/16 3:57 AM","8/3/16 3:57 AM","UCPD officer recovered an unoccupied parked vehicle that had been reported stolen to CPD / CPD case HZ350292","CPD","16-00659"
"2864","Criminal Damage to Vehicle","1300 E. Midway Pl.","8/3/16 7:12 PM","8/3/16 7:00 AM to 7:10 PM","Driver's side window of parked vehicle smashed","Open","16-00660"
"2865","Theft","5730 S. Ellis (Crerar Library Bike Rack)","8/3/16 8:10 PM","8/3/16 1:30 PM to 8:00 PM","Secured bicycle taken from bike rack","Open","16-00661"
"2866","Information / Theft","55th near Woodlawn (Tavern)","8/3/16 10:04 PM","8/3/16 9:05 PM to 10:00 PM","Unknown person took purse containing cell phone and other items from an off-campus establishment  / Cell phone later recovered on a CTA bus at 61st St. & Cottage Grove / Purse and other contents not recovered / CPD case","CPD","16-00662"
"2867",":","","","","","",""
"2868","Information / Aggravated Robbery","5425 S. Harper","8/4/16 12:44 AM","8/4/16 12:40 AM","Victim walking off-campus was approached by two unknown suspects, one displayed an object / Suspects took victim's cell phone and fled on foot / Victim reported no injuries / CPD case","CPD","16-00663"
"2869","Information / Armed Robbery","1220 E. 54th St.","8/4/16 1:24 AM","8/4/16 1:20 AM","Two victims walking off-campus were approached by two unknown suspects who exited a vehicle and took their property at gunpoint / Suspects reentered vehicle and drove off / Victims reported no injuries / CPD case HZ377373","CPD","16-00664"
"2870","Information / Armed Robbery","5201 S. Ingleside","8/4/16 1:42 AM","8/4/16 1:40 AM","Victim walking off-campus was approached by two unknown suspects, one armed with a handgun / Suspects pushed the victim to the ground and took his book bag, entered a vehicle and drove off / Victim reported no injuries / CPD case","CPD","16-00665"
"2871","Information / Armed Robbery","6320 S. Dorchester","8/4/16 12:50 PM","8/4/16 12:30 PM","Two unknown suspects, one armed with a handgun took a purse from a victim walking on the sidewalk off-campus / Victim reported no injuries / CPD case HZ377864","CPD","16-00666"
"2872","Information","Kenwood between 57th & 58th","8/4/16 8:13 PM","8/4/13 2:00 PM to 7:00 PM","Resident returned to off-campus private apartment to find rear window and door open / No items appear to be missing / CPD case","CPD","16-00667"
"2873","Battery","5815 S. Maryland (Mitchell Hospital)","8/4/16 11:20 PM","8/4/16 11:15 PM","During the course of a verbal altercation one visitor struck the other with a fist resulting in physical combat / Both parties treated for injuries and released / Aggressor arrested and charged with battery","Arrest","16-00668"
"2874",":","","","","","",""
"2875","Theft","929 E. 57th St. (Gordon Center)","8/5/16 2:31 PM","8/5/16 1:00 PM to 2:00 PM","Unattended, unsecured backpack containing wallet, laptop and various items taken from unsecured lab office / Backpack containing iPod and keys found outside Law School / Subsequent unauthorized use of credit cards reported","Open","16-00669"
"2876",":","","","","","",""
"2877","Information / Robbery","Cottage Grove between 62nd & 63rd","8/6/16 8:48 AM","8/6/16 8:10 AM","Resident of off-campus private apartment building, walking in the stairway, was struck by an unknown suspect who then took cash from the victim and fled northbound on Cottage Grove / CPD case HZ380470","CPD","16-00670"
"2878","Information / Domestic Disturbance","Drexel between 52nd & 53rd","8/6/16 1:20 PM","8/2/16 to 8/5/16 10:00 PM to 10:30 PM","UCPD officers responded to a domestic situation off-campus / Peace restored","Closed","16-00671"
"2879","Assist Other Agency / Domestic Battery","1200 E. Hyde Park (Public Way)","8/6/16 5:09 PM","8/6/16 4:55 PM","UCPD officer detained a suspect wanted by Chicago police for a domestic battery off-campus / Suspect arrested by CPD / CPD case HZ381056","CPD","16-00672"
"2880","Information / Battery","1400 E. 52nd St. (Public Way)","8/6/16 9:19 PM","8/6/16 9:15 PM","An individual walking on the sidewalk off-campus was, without provocation, assaulted by a group of unknown suspects and struck with fists / Victim received medical attention on the scene by CFD EMS / CPD case HZ381358","CPD","16-00673"
"2881","Information / Battery","5300 S. Dorchester (Public Way)","8/6/16 9:28 PM","8/6/16 9:25 PM","An individual was struck in the face in an unprovoked assault by an unknown individual on the sidewalk off-campus / Victim received medical attention on the scene by CFD EMS / Referred to CPD","CPD","16-00674"
"2882",":","","","","","",""
"2883","Non-Criminal / Fire","1144 E. 59th St. (Winter Garden)","8/7/16 11:52 AM","8/7/16 11:52 AM","Fire reported in metal trash container in Winter Garden / CFD responded and extinguished the fire / Cause undetermined / No property damage or injuries reported","Closed","16-00675"
"2884",":","","","","","",""
"2885","Injured Person","821 E. 55th St. (Stagg Field)","8/8/16 8:00 PM","8/8/16 7:45 PM","Individual injured his left knee while playing soccer with friends / Provided his own transportation to ER for evaluation and treatment","Closed","16-00676"
"2886",":","","","","","",""
"2887","Criminal Damage to Property","5721 S. Maryland (Comer Hospital)","8/9/16 7:05 AM","8/8/16 to 8/9/16 11:00 AM to 6:45 AM","Unknown person(s) damaged vending machine in room K480","Open","16-00677"
"2888","Information / Theft","1155 E. 58th St. (Oriental Inst.)","8/9/16 11:07 AM","8/8/16 9:30 AM to 5:30 PM","UC owned radio taken from private vehicle that was stolen off-campus on 8/8/16 / CPD case HZ383826","CPD","16-00678"
"2889","Information / Damage to Property","6054 S. Drexel","8/9/16 2:30 PM","8/1/16 to 8/9/16 8:45 AM to 11:30 AM","UC owned vehicle was damaged while located at car dealer in Oak Lawn, IL / Oak Lawn PD case 16-04921","Closed","16-00679"
"2890",":","","","","","",""
"2891","Theft","1100 E. 57th St. (Regenstein Bike Rack)","8/10/16 8:31 AM","7/15/16 to 8/6/16 12:00 PM to 4:10 PM","Secured bicycle taken from bike rack","Open","16-00680"
"2892","Information","5700 S. Maryland (CCD)","8/10/16 11:49 AM","8/10/16 10:55 AM","Individual reports disturbing cell phone messages from a friend","Closed","16-00681"
"2893","Information","5505 S. Ellis (Parking Structure)","8/10/16 11:24 PM","8/10/16 11:24 PM","Individual manually lifted gate arm at parking lot exit / Report generated in event lift arm was damaged as a result","Closed","16-00682"
"2894",":","","","","","",""
"2895","Theft","860 E. 59th St. (Goldblatt)","8/11/16 4:36 PM","8/11/16 4:15 PM to 4:20 PM","Wallet taken from unattended, unsecured purse left in unsecured room","Open","16-00683"
"2896",":","","","","","",""
"2897","VOID","VOID","VOID","VOID","Number generated in error","VOID","16-00684"
"2898",":","","","","","",""
"2899","Information","1100 E. 58th St. (Ryerson Lab)","8/13/16 4:23 AM","8/13/16 4:05 AM","Three individuals were observed on the roof of the building / Subjects warned of danger and escorted off the premises","Closed","16-00685"
"2900","Theft from Motor Vehicle","1010 E. 59th St. (Public Way)","8/13/16 3:04 PM","8/13/16 7:00 AM to 3:00 PM","Unknown person took spare tire from beneath Chevy Silverado parked on the public way","Open","16-00686"
"2901","Non-Criminal Damage to Property","5801 S. Cottage Grove (UC Service Garage)","8/13/16 3:42 PM","8/13/16 3:40 PM","UC owned vehicle struck fixed object resulting in minor damage to the vehicle","Closed","16-00687"
"2902",":","","","","","",""
"2903","Information / Armed Robbery","5118 S. Lake Park (Public Way)","8/14/16 1:07 PM","8/14/16 1:00 PM","Victim standing on the sidewalk off-campus was called over to a vehicle that pulled to the curb / A suspect, known to the victim, displayed a handgun and took cash from the victim / Vehicle drove off northbound on Harper / CPD case HZ381701","CPD","16-00688"
"2904",":","","","","","",""
"2905","Recovered Motor Vehicle","1351 E. 56th St.","8/15/16 1:47 PM","8/15/16 1:47 PM","UCPD officer recovered an unoccupied parked vehicle off-campus that had previously been reported stolen to Chicago Police / CPD case","CPD","16-00689"
"2906","Information / Theft","Dorchester between 49th & 50th","8/15/16 6:49 PM","8/14/16 6:15 PM","Estranged husband entered off-campus private residence and took victim's property / CPD case HZ393578","CPD","16-00690"
"2907",":","","","","","",""
"2908","Theft","6045 S. Kenwood (Bike Rack)","8/16/16 7:59 PM","8/16/16 12:00 PM to 7:55 PM","Seat taken from bicycle secured to bike rack","Open","16-00691"
"2909",":","","","","","",""
"2910","Information / Recovered Motor Vehicle","6054 S. Drexel (Public Way)","8/17/16 9:05 AM","8/17/16 9:05 AM","UCPD officer recovered an unoccupied parked vehicle that had been previously been reported stolen to Chicago police / CPD case HZ372040","CPD","16-00692"
"2911","Information / Traffic Crash / Personal Injury","5213 S. Woodlawn (Public Way)","8/17/16 10:45 AM","8/17/16 10:45 AM","Motorist emerging from alley off-campus struck a bicyclist / Victim transported to ER by CFD EMS","Closed","16-00693"
"2912",":","","","","","",""
"2913","Information / Traffic Crash","5600 S. Hyde Park","8/18/16 8:31 AM","8/18/16 8:31 AM","Vehicle struck pedestrian in crosswalk / Victim reported no injuries / MVA00135","Closed","16-00694"
"2914","Theft","1369 E. Hyde Park (Neighborhood Apts.)","8/18/16 11:25 AM","8/17/16 2:00 PM to 5:00 PM","Unsecured bicycle taken from unlocked bike storage room in off-campus residential property","Open","16-00695"
"2915","Theft","5720 S. Ellis (Kersten Bike Rack)","8/18/16 4:33 PM","8/18/16 12:00 PM to 4:00 PM","Secured bicycle taken from bike rack","Open","16-00696"
"2916","Void","Void","Void","Void","Number generated in error","Void","16-00697"
"2917",":","","","","","",""
"2918","Theft","5730 S. Ellis (Crerar Library Bike Rack)","8/19/16 12:32 AM","8/18/16 to 8/19/16 10:00 AM to 12:30 AM","Secured bicycle taken from bike rack","Open","16-00698"
"2919",":","","","","","",""
"2920","No Incident Reports this date - 8/20/16","No Incident Reports this date - 8/20/16","No Incident Reports this date - 8/20/16","No Incident Reports this date - 8/20/16","No Incident Reports this date - 8/20/16","No Incident Reports this date - 8/20/16","No Incident Reports this date - 8/20/16"
"2921",":","","","","","",""
"2922","Battery / Domestic","1400 E. 47th St. (Parking Lot)","8/21/16 8:59 PM","8/21/16 8:55 PM","Boyfriend physically assaulted girlfriend in off-campus shopping center parking lot / Arrested by UCPD officers","Arrest","16-00699"
"2923",":","","","","","",""
"2924","Information / Burglary","Dorchester between 56th & 57th","8/22/16 9:04 AM","8/22/16 8:30 AM","Unknown person(s) entered off-campus private residence via rear window and took a laptop computer and iPad / CPD case HZ402239","CPD","16-00700"
"2925","Battery","5307 S. Kimbark (Public Way)","8/22/16 4:14 PM","8/22/16 4:10 PM","Victim, walking on the sidewalk off-campus, was struck in the face by an unknown suspect / Suspect fled southbound / Victim refused medical attention / Suspect later arrested by UCPD officer / Refer to Incident 16-00702 below","Arrest","16-00701"
"2926","Attempt Robbery","924 E. 57th St. (Campus Walkway)","8/22/16 5:07 PM","8/22/16 4:30 PM","Victim, walking on campus walkway, was approached by suspect who grabbed her and demanded her cell phone / Suspect fled without taking phone and was apprehended by UCPD officer as he attempted to make his escape / Suspect charged with felony attempt robbery / Suspect charged with battery in re. above incident 16-00701","Arrest","16-00702"
"2927",":","","","","","",""
"2928","Theft","6031 S. Ellis (Granville-Grossman RH)","8/23/16 12:01 PM","8/23/16 11:50 AM to 11:55 AM","Unattended, unsecured wallet taken from window ledge in 7th floor hallway / Follow up invesitigation revealed the complainant had misplaced the wallet and later found it intact among his belongings","Unfounded","16-00703"
"2929","Information / Burglary","Park Pl. between Blackstone & Harper","8/23/16 9:04 PM","8/23/16 4:45 PM to 8:45 PM","Unknown person(s) gained entry to off-campus private residence via open basement window and took jewelry and TV / CPD case HZ404619","CPD","16-00704"
"2930",":","","","","","",""
"2931","Attempt Theft","5901 S. Cottage Grove (Public Way)","8/24/16 12:48 AM","8/24/16 12:45 AM","Unknown individual attempted to take property from a backpack left hanging on a street post / When confronted by owner, suspect fled without property","Open","16-00705"
"2932","Warrant Arrest","5200 S. Lake Park","8/24/16 1:29 AM","8/24/16 1:29 AM","Traffic violator arrested by UCPD officer for active warrant from Illinois Dept. of Corrections","Arrest","16-00706"
"2933","Criminal Damage to Property","950 E. 59th St. (Billings Hospital)","8/24/16 8:23 AM","8/23/16 to 8/24/16 10:00 PM to 7:00 AM","Window in room M361 broken / Spent projectile found on floor","Open","16-00707"
"2934","Theft","1369 E. Hyde Park (Fairfax Apts.)","8/24/16 10:40 AM","8/11/16 to 8/16/16 5:30 PM to 8:00 AM","Secured bicycle taken from secured bike storage room in apartment building","Open","16-00708"
"2935","Battery / Domestic","5758 S. Maryland (DCAM)","8/24/16 1:26 PM","8/24/16 1:15 PM","Patient struck wife with his hand / Victim declined prosecution","Ex. Cleared","16-00709"
"2936","Theft","929 E. 57th St. (Gordon Center Bike Rack)","8/24/16 6:24 PM","8/24/16 8:00 AM to 6:20 PM","Secured bicycle taken from bike rack.","Open","16-00710"
"2937","Domestic Aggravated Battery / Senior Citizen","901 E. 58th St. (Mitchell ER)","8/24/16 9:15 PM","8/24/16 8:15 PM","Elderly patient was physically abused by granddaughter / Suspect left prior to arrival of UCPD","Open","16-00711"
"2938","Theft","929 E. 57th St. (Gordon Center Bike Rack)","8/24/16 11:11 PM","8/24/16 3:00 PM to 11:00 PM","Two wheels taken from bicycle secured to bike rack","Open","16-00712"
"2939",":","","","","","",""
"2940","Information / Theft from Person","5551 S. Woodlawn (Public Way)","8/25/16 8:38 AM","8/25/16 8:30 AM","Unknown suspect took a bag from victim walking on the street off-campus / Suspect fled northbound on foot / CPD case HZ406347","CPD","16-00713"
"2941","Information / Robbery","5400 S. Kenwood (Pubic Way)","8/25/16 6:27 PM","8/25/16 6:20 PM","Unknown suspect approached four individuals on the sidewalk off-campus / Subject searched the four and took cash from one victim before fleeing / No weapon displayed / No injuries reported / CPD case HZ407083","CPD","16-00714"
"2942","Lost Property","5700 S. Maryland (CCD)","8/25/16 5:52 PM","8/22/16 to 8/25/16 10:00 PM to 4:35 PM","Patient's wallet lost while transferring rooms in the hospital","Closed","16-00715"
"2943",":","","","","","",""
"2944","Information / Aggravated Battery","1551 E. 60th St. (Public Way)","8/26/16 1:47 PM","8/26/16 1:45PM","Victim, unaffiliated with the University, suffered a gunshot wound to the right leg as a result of a domestic altercation with girlfriend / Suspect drove westbound on 60th St. in a black vehicle / Victim transported to hospital by CFD EMS / CPD case HZ407971","CPD","16-00716"
"2945",":","","","","","",""
"2946","Information / Damage to Vehicle","4900 S. Kenwood","8/27/16 11:31 PM","8/27/16 10:55 PM","Tail light on UC owned vehicle accidentally damaged while gear was being placed in trunk","Closed","16-00717"
"2947",":","","","","","",""
"2948","Battery","5815 S. Maryland (Mitchell Hospital)","8/28/16 9:40 AM","8/27/16 8:00 AM","As a result of an ongoing dispute between co-workers, one staff member alleged co-worker intentionally bumped her with her shoulder / Victim declined to prosecute / Matter to be handled by Hospital HR","Ex. Cleared","16-00718"
"2949",":","","","","","",""
"2950","Information / Burglary","52nd St. between Drexel and Ellis","8/29/16 11:32 AM","8/29/16 8:30 AM to 11:30 AM","Unknown person(s) entered off-campus private residence via an unlocked window and took a bicycle / CPD case HZ411890","CPD","16-00719"
"2951","Harassing Telephone Calls","5841 S. Maryland (Chicago Lying In Hospital)","8/29/16 12:38 PM","8/22/16 to 8/26/16 9:30 AM to 8:00 AM","Report of harassing phone calls from an unidentified individual","Open","16-00720"
"2952","Information / Burglary","University between 61st & 62nd","8/29/16 2:58 PM","8/29/16 11:30 AM to 1:00 PM","Unknown person(s) entered off-campus private apartment and took a TV / CPD case HZ412113","CPD","16-00721"
"2953","Found Property","6054 S. Drexel","8/29/16 5:05 PM","8/27/16 to 8/29/16 6:00 PM to 5:00 PM","iPhone found on shuttle bus turned over to UCPD by First Transit staff member / Owner contacted and notified to pick up phone at UCPD HQ","Closed","16-00722"
"2954","Information / Armed Robbery","5400 S. Dorchester","8/29/16 10:48 PM","8/29/16 10:40 PM","Victim was approached by an unknown suspect after parking car on the street off-campus / Suspect, armed with a handgun, took victim's back pack and car / CPD report HZ412762","CPD","16-00723"
"2955",":","","","","","",""
"2956","Information / Recovered Vehicle","6229 S. Ellis","8/30/16 8:59 AM","8/30/16 8:59 AM","UCPD officer recovered an unoccupied vehicle parked at the curb that had previously been reported as stolen to CPD / In-car LPR generated / CPD case HZ397848","CPD","16-00724"
"2957","Lost Property","5758 S. Maryland (DCAM)","8/30/16 2:43 PM","8/30/16 10:00 AM to 12:30 PM","Individual reports losing wallet between 1126 E. 59th St. and 5758 S. Maryland","Closed","16-00725"
"2958",":","","","","","",""
"2959","Lost Property","6054 S. Drexel","8/31/16 11:22 AM","7/14/16 to 7/20/16 4:00 PM to 4:00 PM","Key to UC owned vehicle lost","Closed","16-00726"
"2960","Found Property","6054 S. Drexel","8/31/16 11:36 AM","8/31/16 11:36 AM","First Transit staff turned over wallet found on Shuttle Bus / Inventoried for safekeeping at UCPD","Closed","16-00727"
"2961","Information","5721 S. Maryland (Comer Hospital)","8/31/16 1:53 PM","8/31/16 10:00 AM","Staff member received a ""prank"" package filled with glitter / Turned over to UCPD","Closed","16-00728"
"2962","Theft","1362 E. 59th St. (Lab School)","8/31/16 4:16 PM","8/31/16 2:00 PM to 4:00 PM","Unattended, unsecured purse left in unsecured classroom taken by an unknown person / Complainant reports she had misplaced her purse which was later found intact / Unfounded","Unfounded","16-00729"
"2963","Information / Burglary","Ellis between 54th & 55th","8/31/16 5;03 PM","8/30/16 to 8/31/16 8:30 PM to 5:00 PM","Unknown person(s) entered off-campus private apartment via unsecured rear window and took property / CPD case","CPD","16-00730"
"2964","Information / Attempt Home Invasion","54th St. between Woodlawn and Kimbark","8/31/16 8:47 PM","8/31/16 8:45 PM","Two unknown suspects, one armed with a handgun, attempted to forcibly enter front door of off-campus private residence, but home owner shut the door before they could enter / Suspects fled / CPD case HZ415419","CPD","16-00731"
"2965",":","","","","","",""
"2966","Information / Traffic Crash","5235 S. Harper (Parking Garage)","9/1/16 9:49 AM","8/29/16 3:00 PM","UC owned vehicle struck concrete barrier damaging right side-view mirror / No injuries reported / MVA00139","Closed","16-00732"
"2967","Information","5700 S. Maryland (CCD)","9/1/16 12:31 PM","8/31/16 10:55 AM","Report of harassing telephone calls to staff","Open","16-00733"
"2968","Information / Attempt Armed Robbery","Harper between 54th & 55th (Rear of Shopping Center)","9/1/16 6:05 PM","9/1/16 6:00 PM","Unknown suspect, armed with a handgun, approached individual behind the off-campus shopping center and demanded property / Victim's friend observed the crime and tackled the suspect / During the struggle the weapon discharged but no injuries resulted / Suspect fled / Victim declined medical assistance / CPD case HZ416586","CPD","16-00734"
"2969","Theft from Motor Vehicle","5840 S. Maryland (Parking Structure)","9/1/16 7:01 PM","8/31/16 to 9/1/16 8:30 AM to 7:00 PM","Unknown person(s) smashed window of car parked in the garage and took items from the vehicle","Open","16-00735"
"2970",":","","","","","",""
"2971","Injured Person","5835 S. Greenwood (Main Quad)","9/2/16 1:17 AM","9/1/16 9:50 PM","Contract employee tripped over uneven pavement and injured right ankle / Transported to ER for evaluation and treatment","Closed","16-00736"
"2972","Information / Traffic Crash","1362 E. 59th St.","9/2/16 7:55 AM","9/2/16 7:55 AM","Traffic crash / Property damage only, no injuries reported / CPD case HZ417182","CPD","16-00737"
"2973","Theft","1427 E. 60th St.","9/2/16 2:11 PM","9/2/16 11:00 AM","Unknown person took wheel from bicycle secured to bike rack","Open","16-00738"
"2974","Mental Health Transport","5839 S. Maryland","9/2/16 10:34 PM","9/2/16 10:34 PM","Individual in need of assistance was transported and admitted to Jackson Park Hospital for mental evaluation and treatment","Closed","16-00739"
"2975",":","","","","","",""
"2976","Theft","1100 E. 57th St. (Regenstein Bike Rack)","9/3/16 11:57 AM","9/3/16 11:40 AM to 11:50 AM","Secured bicycle taken from bike rack","Open","16-00740"
"2977","Information / Armed Robbery","4410 S. Drexel (Alley)","9/3/16 11:18 AM","9/3/16 11:15 AM","Unknown suspect, armed with a handgun, took cash from victim walking in the alley off-campus / Victim reported no injuries / CPD case HZ481816","CPD","16-00741"
"2978","Found Narcotics","5700 S. Maryland (CCD)","9/3/16 9:11 PM","9/3/16 9:05 PM","Staff member found plastic baggy that tested positive for heroin / Turned over to UCPD for proper disposal","Closed","16-00742"
"2979","Information / Armed Robbery","1520 E. 57th St. (Metra Station)","9/3/16 10:33 PM","9/3/16 10:30 PM","Unknown suspect, armed with a handgun, took wallet and cell phone from victim inside of the Metra train station / Suspect fled to a waiting vehicle that went eastbound on 57th St. / Metra Police case 16-00032392","Metra Police","16-00743"
"2980",":","","","","","",""
"2981","Traffic Crash","5430 S. Lake Shore Dr.","9/4/16 12:16 AM","9/3/16 9:15 PM","Vehicle travelling southbound struck median wall / Motorist transported to ER for evaluation and treatment / MVA2016-00141","Closed","16-00744"
"2982","Theft","5700 S. Maryland (CCD)","9/4/16 9:53 AM","9/3/16 7:00 AM to 7:10 AM","iPad taken from bag left in unsecured locker in secured locker room #4306","Open","16-00745"
"2983",":","","","","","",""
"2984","Information / Burglary","54th between Woodlawn & Kimbark","9/5/16 3:52 PM","9/5/16 3:50 PM","Unknown person raised unsecured window in off-campus private apartment and took a laptop from a table / CPD case","CPD","16-00746"
"2985","Information / Armed Robbery","6213 S. University","9/5/16 8:00 PM","9/5/16 7:55 PM","Two unknown suspects, one armed with a handgun, took a back pack from a person walking on the sidewalk off-campus / CPD case HZ421844","CPD","16-00747"
"2986","Non-Criminal / Damage to Property","1156 E. 57th St.","9/5/16 11:18 PM","9/4/16 to 9/5/16 9:00 PM to 10:00 PM","Tree fell causing damage to unoccupied car parked on the city street","Closed","16-00748"
"2987",":","","","","","",""
"2988","Non-Criminal Property Damage","5640 S. Ellis (Eckhardt Research Center)","9/6/16 6:24 AM","9/5/16 to 9/6/16 5:00 PM to 6:00 AM","Water overflowed from equipment in room 220 through the ceiling into room 110","Closed","16-00749"
"2989","Lost Property","6054 S. Drexel","9/6/16 8:33 AM","9/5/16 6:45 PM to 6:55 PM","Keys to UC owned vehicle lost","Closed","16-00750"
"2990","Information / Burglary","Kimbark between 53rd & 54th","9/6/16 10:44 AM","9/6/16 7:00 AM to 7:05 AM","Unknown person(s) entered off-campus private apartment via an unsecured kitchen window and took property / CPD case","CPD","16-00751"
"2991","Lost Property","5815 S. Maryland (Mitchell Hospital)","9/6/16 2:44 PM","9/6/16 9:50 AM to 1:00 PM","Individual reports losing wallet while in the hospital","Closed","16-00752"
"2992",":","","","","","",""
"2993","Assist Other Agency / Criminal Trespass to Land","Kenwood between 57th & 58th","9/7/16 11:52 AM","9/7/16 11:50 AM","UCPD officer detained two suspects trespassing on the rear stairs at an off-campus private apartment building / Suspects turned over to and arrested by CPD officers / CPD case HZ424120","CPD","16-00753"
"2994","Information","Kenwood between 56th & 57th","9/7/16 3:42 PM","8/26/16 to 8/31/16 7:00 AM to 3:00 PM","Information relating to a dispute between neighbors","Closed","16-00754"
"2995",":","","","","","",""
"2996","Theft","970 E. 58th St. (Bookstore)","9/8/16 11:58 AM","9/8/16 11:58 AM","Suspect took merchandise from the establishment without paying / Suspect arrested by UCPD officers after a brief foot chase / Suspect was wanted for previous theft from the store (ref. 16-00650) Suspect charged with 2 counts of felony theft","Arrest","16-00755"
"2997","Information / Domestic Disturbance","5645 S. Cottage Grove (Public Way)","9/8/16 3:00 PM","9/8/16 2:55 PM","Domestic disturbance involving boyfriend and girlfriend / Peace restored / CPD case HZ425718","CPD","16-00756"
"2998","Information / Burglary","Woodlawn between 52nd & 53rd","9/8/16 5:12 PM","9/8/16 11:05 AM to 4:45 PM","Unknown person(s) gained entry to off-campus private apartment and took TV / CPD case","CPD","16-00757"
"2999",":","","","","","",""
"3000","Information / Traffic Crash","5745 S. Drexel (Crerar Library Loading Dock)","9/9/16 8:09 AM","9/8/16 1:30 PM","Delivery truck backed into and damaged loading dock door / Property damage only, no injuries reported / 2016-MVA00146","Closed","16-00758"
"3001","Theft","5811 S. Ellis (Cobb Hall)","9/9/16 11:13 AM","9/9/16 11:00 AM","Unknown person removed iPhone from unattended, unsecured bag on the 4th floor","Open","16-00759"
"3002","Information / Medical Call","1025 E. 58th St. (Swift Hall)","9/9/16 2:38 PM","9/9/16 2:35 PM","Sick person transported to ER by CFD EMS for evaluation and treatment","Closed","16-00760"
"3003","Battery","5721 S. Maryland (Comer Hospital)","9/9/16 3:23 PM","9/9/16 12:00 PM","Staff member was intentionally bumped by the parent of a patient while walking in the hallway / Victim refused to prosecute","Ex. Cleared","16-00761"
"3004","Theft","5823 S. Kenwood (Lab School Bike Rack)","9/9/16 5:09 PM","9/8/16 7:45 AM to 6:00 PM","Secured bicycle taken from bike rack","Open","16-00762"
"3005",":","","","","","",""
