"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured Start Date","Occured End Date","Occured Start Time","Occured End Time"
"1858","Theft","5700 S. Stony Island ","Res. Hall Bike Rack","11/17/15","08:57","Secured bicycle taken from bike rack","Open","E00766","11/16/15","11/17/15","17:00","08:50"
"1859","Theft","1100 E. 57th St. ","Regenstein Library","11/17/15","09:05","Unattended, unsecured book bag containing laptop computer, calculators and text books taken from 5th floor cubicle / Unattended property was taken for safekeeping and returned to the owner / No theft occurred","Unfounded","E00767","11/16/15",NA,"21:10","21:45"
"1860","Information / Shots Fired","Lake Park / 48th to 49th",NA,"11/17/15","10:42","UCPD and CPD officers responded to a call of shots fired off campus in the area of 48th to 49th & Lake Park / No suspects located, no injured persons or property damage reported","CPD","","11/17/15",NA,"10:40",NA
"1861","Injured Person","1100 E. 57th St. ","Regenstein Library","11/17/15","11:40","UC Facilities employee injured when metal cover he was working on fell on his leg / Transported to hospital by CFD EMS for treatment","Closed","E00768","11/17/15",NA,"11:30",NA
"1862","Lost Property","924 E. 57th St. ","BSLC","11/17/15","14:38","Wallet missing from back pack / Unauthorized use of credit cards reported","Open","E00770","11/15/15","11/17/15","17:00","13:55"
"1863","Information","Hyde Park between 53rd & 54th",NA,"11/17/15","16:59","Individual received threats from an acquaintance via social media","Open","E00771","11/16/15",NA,"21:05",NA
"1864","Criminal Damage to Property","5303 S. Kimbark ","UC Apt. Bldg.","11/18/15","04:54","Unknown person(s) broke exterior  wood frame and glass vestibule door of off-campus apartment building","Open","E00772","11/18/15",NA,"04:50",NA
"1865","Injured Person","1362 E. 59th St. ","Lab School","11/18/15","15:45","Contract employee tripped on stairs of school injuring left ankle and both knees / Transported to ER by CFD EMS","Closed","E00773","11/18/15",NA,"14:35",NA
"1866","Theft","5625 S. Ellis ","Max Palevsky RH","11/18/15","21:06","Bicycle chained to light post taken by unknown person","Open","E00774","11/17/15","11/18/15","19:00","17:00"
"1867","Information / Robbery","Woodlawn between 54th & 55th",NA,"11/18/15","23:52","Three unknown suspects took a wallet and cell phone from a victim walking into an off-campus private apartment building / Victim reported no injuries / CPD case HY506786","CPD","","11/18/15",NA,"23:05",NA
"1868","Battery","808 E. 61st St.",NA,"11/19/15","10:01","Victim was struck in the face by a co-worker. Victim declined to press charges","Ex. Cleared","E00775","11/19/15",NA,"09:55",NA
"1869","Information","6054 S. Drexel",NA,"11/19/15","11:13","Individual informed UCPD of unwanted Face Book messages received from an acquaintance","Closed","E00776","11/18/15",NA,"19:00",NA
"1870","Traffic Accident","5225 S. Harper",NA,"11/19/15","13:22","While pulling into a parking space UC owned vehicle touched the rear bumper of another car / No damage visible / No injuries reported / MVA00441","Closed","E00777","11/19/15",NA,"13:00",NA
"1871","Theft","5625 S. Ellis ","Max Palevsky RH","11/19/15","15:22","Bicycle secured to a lamp post taken by unknown person","Open","E00778","11/17/15","11/18/15","18:00","11:00"
"1872","Criminal Damage to Property / Criminal Defacement / Hate Crime","1100 E. 57th St. ","Regenstein Library","11/20/15","15:05","Unknown person scrawled racially biased graffiti on a stairwell wall between the 4th & 5th floors","Open","E00780","11/18/15",NA,"16:30",NA
"1873","Traffic Crash Property Damage / Hit & Run","6210 S. Kenwood",NA,"11/20/15","23:59","Vehicle backed into UC owned vehicle causing damage to front bumper before fleeing the scene / No injuries reported MVA 00443","Open","E00781","11/20/15",NA,"23:59",NA
"1874","Lost Property","1126 E. 59th St. ","Social Science Research","11/21/15","10:06","Contract employee reports losing a pack containing 50 building keys","Closed","E00782","11/20/15","11/21/15","23:00","01:00"
"1875","Traffic Crash","5730 S. Cottage Grove",NA,"11/21/15","14:42","UC owned vehicle, stopped in traffic, struck in the rear by another vehicle / Staff member reports injury to right knee / Examined at ER / MVA00444","Closed","E00783","11/21/15",NA,"14:42",NA
"1876","Information","920 E. 58th St. ","Cummings","11/22/15","15:14","Water line burst in ceiling in room 430 / Damage limited to 6 ceiling tiles","Closed","E00784","11/22/15",NA,"15:14",NA
"1877","Domestic Battery","5721 S. Maryland ","Comer Hospital","11/22/15","15:46","Girlfriend and boyfriend struck each other during the course of a domestic argument / Both parties refused prosecution","Ex. Cleared","E00785","11/22/15",NA,"15:40",NA
"1878","Injured Person","5505 S. Ellis ","Parking Structure","11/23/15","12:02","Individual slipped on patch of ice on 4th floor of parking structure and fell injuring left wrist / Individual walked to ER for examination and treatment","Closed","E00786","11/23/15",NA,"10:50",NA
"1879","Theft","6054 S. Ellis ","Lobby","11/23/15","13:22","iPhone left unattended and unsecured taken from seating area in south lobby of building / Suspect was identified via follow up investigation / Phone returned to owner / Victim refused prosecution","Ex. Cleared","E00787","11/23/15",NA,"11:55","12:30"
"1880","Information","5300 S. University",NA,"11/23/15","18:29","Suspect took iPhone from victim walking on the sidewalk off campus / UCPD officers tracked phone and detained a suspect and also recovered the phone / Victim positively identified suspect but refused to prosecute","Closed","E00788","11/23/15",NA,"18:25",NA
"1881","Assist Other Agency / Recovered Vehicle","4559 S. Oakenwald",NA,"11/24/15","12:47","UCPD officer on patrol was alerted by the License Plate Reader to a stolen motor vehicle parked on the street / The unoccupied vehicle had been reported stolen to CPD / CPD case HY481480","CPD","E00789","11/24/15",NA,"12:47",NA
"1882","Information / Shots Fired","63rd & Kenwood",NA,"11/24/15","13:27","UCPD and CPD officers responded to a call of shots fired on the street off campus in the area of 63rd St. & Kenwood / No suspects located / No injuries or property damage reported","CPD","","11/24/15",NA,"13:25",NA
"1883","Theft","5620 S. Ellis ","Accelerator Bldg.","11/24/15","16:42","Credit cards and cash taken from unattended, unsecured wallet left in 2nd floor office / Unauthorized use of credit cards reported","Open","E00790","11/24/15",NA,"13:30","16:00"
"1884","Lost Property","6054 S. Drexel ","UCPD HQ","11/25/15","00:29","Staff member reports loss of UC ID","Closed","E00791","11/24/15",NA,"08:00","23:00"
"1885","Domestic Battery","1414 E. 59th St. ","Public Way","11/25/15","00:37","During the course of a domestic dispute, mother battered daughter / Suspect arrested by UCPD","Arrest","E00792","11/25/15",NA,"00:37",NA
"1886","Information / Robbery","Kimbark between 55th & 56th",NA,"11/27/15","19:44","Three unknown suspects took a wallet and cell phone from a victim walking on the sidewalk off campus / Victim reported no injuries / CPD case HY518976","CPD","","11/27/15",NA,"19:35",NA
"1887","Theft","5700 S. Maryland ","CCD","11/28/15","07:41","Cash taken from secured locker in employee locker room #0-485","Open","E00793","11/25/15","11/28/15","15:30","07:00"
"1888","Theft","5757 S. University ","Saieh Hall Bike Rack","11/28/15","12:58","Secured bicycle taken from bike rack","Open","E00794","11/26/15","11/27/15","12:45","12:00"
"1889","Non-Criminal Other","5107 S. Blackstone ","Piccadilly Apts.","11/28/15","12:44","UCPD officers responded to a call of a loud disturbance / Domestic disturbance / Peace restored","Closed","E00795","11/28/15",NA,"12:44",NA
"1890","Theft","5815 S. Maryland ","Mitchell Hospital","11/29/15","00:09","Suspect took unattended unsecured cell phone from Labor & Delivery waiting room / Suspect identified and detained by MC Security officers / Phone returned to owner / Victim refused prosecution","Ex. Cleared","E00796","11/28/15",NA,"23:20",NA
"1891","Information","6054 S. Drexel ","UCPD HQ","11/29/15","08:23","Information received from FBI re. online threat of gun violence on UC campus on Monday 11/30/15 / Warning disseminated to University community / CPD notified","Open","E00797","11/29/15",NA,"08:23",NA
"1892","Battery","5700 S. Maryland ","CCD","11/30/15","16:08","Delayed report / Victim reported that during a verbal altercation with a co-worker in the locker room, the co-worker poked the victim in the eye and scratched the victim's nose","Open","E00798","11/28/15",NA,"07:45",NA
"1893","Assist Other Agency / Criminal Damage to Property","1418 E. 53rd St. ","Dunkin' Donuts","11/30/15","19:27","UCPD officer assisted CPD by locating and detaining a suspect who had shattered a glass door in the restaurant / Suspect turned over to CPD and charged with criminal damage to property / CPD case HY520161","CPD","E00799","11/30/15",NA,"19:25",NA
"1894","Found Property","6054 S. Drexel",NA,"12/1/15","11:37","Individual found a set of keys and turned property over to UCPD for safekeeping","Closed","E00800","12/1/15",NA,"11:37",NA
"1895","Theft","1050 E. 59th St. ","Wieboldt Hall","12/1/15","14:38","Two framed pictures and a Chinese scroll taken from lounge room 301F / Suspects identified through investigation / Property returned / No prosecution / Referred","Ex. Cleared","E00801","11/20/15","12/1/15","14:00","14:30"
"1896","Theft","5640 S. Ellis ","Eckhardt Research Center","12/1/15","16:35","Credit card and debit card taken from wallet left in unattended book bag in unsecured room / Unauthorized use of cards reported","Open","E00802","12/1/15",NA,"11:00","15:10"
"1897","Lost Property","1111 E. 60th St. ","Law School","12/2/15","11:09","Several items of computer equipment missing and unaccounted for / Subsequent to a search some items have been located within the building","Closed","E00803","10/1/15","12/2/15","01:00","11:00"
"1898","Theft","6054 S. Drexel ","Office Bldg.","12/2/15","15:19","Wallet taken from unsecured cabinet in 2nd floor cubicle / Unauthorized attempted use of credit and debit cards reported","Open","E00804","12/2/15",NA,"09:30","14:30"
"1899","Information / Shots Fired","Area of 60th & Dorchester",NA,"12/2/15","21:06","UCPD and CPD officers responded to a call of shots fired in the area of 60th & Dorchester / Possible black vehicle involved /  No suspects found, no injured persons or property damage reported / CPD case","CPD","","12/2/15",NA,"21:06",NA
"1900","Liquor Law Violation","1414 E. 59th St. ","I-House","12/3/15","01:02","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","E00805","12/3/15",NA,"01:02",NA
"1901","Injured Person / Damage to Property","5807 S. Woodlawn ","Booth School","12/3/15","08:19","Individual working on a ladder on the 2nd floor fell from the ladder striking head on the floor when hot water line in ceiling burst flooding the 2nd floor / Victim transported to ER by CFD EMS / UC Facilities and CFD on scene","Closed","E00806","12/3/15",NA,"08:15",NA
"1902","Lost Property","6000 S. Ellis",NA,"12/3/15","14:46","Individual reports loss of UCID card and U.S. passport","Closed","E00807","12/2/15",NA,"12:00","21:00"
"1903","Traffic Accident","5900 S. Woodlawn",NA,"12/3/15","20:00","Bicyclist struck motor vehicle in crosswalk / Cyclist reported no injuries and refused medical attention / MVA00449","Closed","E00822","12/3/15",NA,"20:00",NA
"1904","Criminal Damage to Property / Criminal Defacement","1131 E. 57th St. ","Reynolds Club","12/4/15","12:44","Graffiti scrawled on wall in 2nd floor men's washroom","Open","E00808","12/4/15",NA,"12:40",NA
"1905","Information / Deceptive Practice","5640 S. Ellis ","Eckhardt Research Center","12/4/15","14:27","Unknown person gained victim's personal information via email in a fraud attempt / Victim to contact other law enforcement agency","Closed","E00809","11/14/15",NA,"09:00",NA
"1906","Criminal Damage to Property","5734 S. Ellis ","Public Way","12/4/15","15:04","Unknown individual walked up to a car stopped in traffic and broke the passenger's side view mirror by striking it with his hand","Open","E00810","12/4/15",NA,"15:04",NA
"1907","Criminal Damage to Property","1009 E. 57th St. ","Snell Hall","12/4/15","15:04","Unknown person broke lock on copier paper tray panel","Open","E00811","12/3/15","12/4/15","12:00","12:00"
"1908","Liquor Law Violation","1130 E. Midway Pl.",NA,"12/4/15","21:42","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","E00812","12/4/15",NA,"21:42",NA
"1909","Information / Battery","5051 S. East End",NA,"12/4/15","22:47","A group of 6 teens approached shuttle bus off-campus and spit on driver and threw coins at driver through the open window of the bus / No injuries reported /CPD case","CPD","E00813","12/4/15",NA,"21:00",NA
"1910","Theft","5700 S. Maryland ","CCD","12/5/15","11:03","Laptop computer taken from unattended, unsecured bag in patient's room","Open","E00814","12/4/15","12/5/15","19:30","09:00"
"1911","Information / Medical Transport","Woodlawn between 52nd & 53rd",NA,"12/6/15","04:14","Ill person transported to ER for evaluation and treatment","Closed","E00815","12/6/15",NA,"04:14",NA
"1912","Found Narcotics","5454 S. Lake Shore Dr.",NA,"12/6/15","12:58","Individual found a bag containing 46 pills / Turned over to UCPD for disposal","Closed","E00816","12/6/15",NA,"12:10",NA
"1913","Accidental Injury","5500 S. Woodlawn",NA,"12/6/15","21:36","Staff member cut finger in performance of duties / Transported to ER for treatment","Closed","E00817","12/6/15",NA,"19:55",NA
"1914","Warrant Arrest","1100 E. 57th St.",NA,"12/6/15","23:31","UCPD officers arrested an individual wanted on a warrant from the Cook County Sheriff's Office for violation of probation","Arrest","E00818","12/6/15",NA,"23:31",NA
"1915","Information / Armed Robbery","56th & Cornell",NA,"12/7/15","21:22","Suspect, armed with a handgun, took iPhone from victim walking on the sidewalk off campus / Suspect fled westbound on a bicycle / Victim reported no injuries / CPD case HY528751","CPD","E00819","12/7/15",NA,"21:20",NA
"1916","Theft","1020 E. 58th St. ","Kent Lab","12/8/15","09:15","Painting taken from wall in 3rd floor hallway / Suspects identified through investigation / Property returned / No prosecution / Referred","Ex. Cleared","E00820","11/25/15","12/2/15","17:30","09:00"
"1917","Criminal Damage to Property / Criminal Defacement","5730 S. Ellis ","Crerar Library","12/8/15","13:56","Unknown person(s) scrawled graffiti on walls in lower level restroom","Open","E00821","12/3/15","12/8/15","10:00","12:30"
"1918","Information","1100 E. 57th St.",NA,"12/8/15","21:24","Investigation of suspicious postings on Marketplace website","Open","E00823","12/8/15",NA,"01:00",NA
"1919","Theft","5721 S. Maryland ","Comer ER","12/9/15","15:13","Unsecured, unattended cell phone charger taken from patient's room","Open","E00824","12/9/15",NA,"14:25","15:00"
"1920","Information / Criminal Damage to Vehicle","5400 S. Harper ","Public Way","12/9/15","16:00","Individual reported an unknown person ""keyed"" the entire driver's side of the car parked on the street off campus / CPD case","CPD","E00825","12/3/15",NA,"08:50","17:30"
"1921","Information","5758 S. Maryland ","DCAM","12/9/15","16:28","Staff member reports an unknown person attempted to use the physician's DEA number to obtain controlled substance from a pharmacy in Rock Falls, IL DEA contacted","Closed","E00826","12/9/15",NA,"12:00","14:00"
"1922","Information","1101 E. 58th St. ","Rosenwald","12/10/15","03:17","During a routine building check, UCPD officer observed an unauthorized individual on the premises / Subject issued a trespass warning","Closed","E00827","12/10/15",NA,"03:17",NA
"1923","Theft","860 E. 59th St. ","Goldblatt Hospital","12/10/15","06:04","Staff member reports an unknown person took wallet from purse left unattended and unsecured in staff lounge / Unauthorized use of bank card reported","Open","E00828","12/9/15",NA,"11:00","13:15"
"1924","Information","5811 S. Ellis ","Main Quadrangle","12/10/15","09:27","Information regarding 16 small white flags and note displayed in grass area in the Quad","Closed","E00829","12/7/15",NA,"13:45",NA
"1925","Information / Shots Fired","Dorchester between 62nd & 63rd",NA,"12/10/15","19:37","UCPD and CPD officers responded to calls of shots fired off campus in the area between 62nd St. and 63rd St. and Dorchester / No suspects located,  No injuries reported, no property damage reported / Possible white van involved / CPD case","CPD","","12/10/15",NA,"19:37",NA
"1926","Theft","5721 S. Maryland ","Comer Hospital","12/11/15","16:12","Unattended iPhone left in restroom taken by unknown person","Open","E00830","12/11/15",NA,"14:30","15:10"
"1927","Lost Property","5815 S. Maryland ","Mitchell Hospital Caf<e9>","12/11/15","19:54","Individual left leather jacket with car keys and eyeglasses in pocket in cafÃƒÂ© / Upon return was unable to locate the jacket","Closed","E00831","12/11/15",NA,"14:00","15:20"
"1928","Found Property","6054 S. Drexel ","Parking Structure","12/11/15","14:47","A set of 5 keys found on 2nd floor of parking structure near the elevators / Inventoried for safekeeping at UCPD","Closed","E00832","12/11/15",NA,"14:47",NA
"1929","Information / Robbery","5424 S. Kimbark ","Public Way","12/12/15","21:21","Two unknown suspects took a cell phone from a victim walking on the sidewalk off campus before fleeing to a dark SUV waiting nearby / Victim reported no injuries / CPD case HY534983","CPD","E00833","12/12/15",NA,"21:15",NA
"1930","Found Property","5625 S. Ellis ","Max Palevsky RH","12/13/15","11:06","Drug paraphernalia (glass bong) found in room / Turned over to UCPD","Closed","E00834","12/12/15",NA,"12:15",NA
"1931","Medical Call","6031 S. Ellis ","Granville-Grossman RH","12/15/15","03:55","Individual fainted falling to floor in lobby injuring nose and chin / Transported to ER for evaluation and treatment","Closed","E00835","12/15/15",NA,"03:55",NA
"1932","Information","Woodlawn between 54th & 55th",NA,"12/15/15","10:36","Victim reported someone obtained credit card information and used the information to purchase merchandise / Referred to CPD","CPD","E00836","12/14/15",NA,"15:50",NA
"1933","Assist Other Agency","5345 S. Harper ","Harper Crest Apts.","12/15/15","09:42","UCPD officers assisted Chicago Police in arresting 5 suspects involved in theft of parcels from the vestibule of off campus apartment building / CPD case HY537929","CPD","E00837","12/15/15",NA,"09:40",NA
"1934","Theft","901 E. 58th St. ","Mitchell ER","12/15/15","21:34","Unattended, unsecured cell phone left plugged into electrical outlet taken from public area","Open","E00838","12/15/15",NA,"21:00","21:30"
"1935","Information / Armed Robbery","Harper between 60th & 61st",NA,"12/16/15","19:52","Two suspects, one armed with a handgun, took cash from a victim off campus / CPD case HY539898","CPD","","12/16/15",NA,"19:50",NA
"1936","Traffic Crash / Damage to Property","5631 S. Cottage Grove ","Loading Dock","12/18/15","13:05","Delivery truck backing into loading dock struck and damaged an overhead ventilation duct / MVA00456","Closed","E00839","12/18/15",NA,"13:00",NA
"1937","Traffic Accident / Property Damage","5721 S. Maryland ","Comer Hospital","12/19/15","15:10","UCMC owned vehicle struck a metal post in driveway resulting in minor damage / No injury reported / MVA00457","Closed","E00841","12/19/15",NA,"15:10",NA
"1938","Theft from Motor Vehicle","915 E. Midway Pl.",NA,"12/19/15","19:56","Unknown person(s) took rear driver's side tire from a vehicle parked on the street","Open","E00842","12/19/15",NA,"06:50","19:50"
"1939","Domestic Battery","5721 S. Maryland ","Comer Hospital","12/19/15","21:41","During the course of a domestic argument, boyfriend struck girlfriend in the face with his hand / Suspect fled before arrival of police","Open","E00843","12/19/15",NA,"21:10",NA
"1940","Assault","5530 S. Ellis ","Ratner A.C.","12/20/15","01:04","A staff member related that during the course of an argument another staff member placed him in fear of receiving bodily harm / No complaints signed as of this time","Open","E00844","12/20/15",NA,"00:40",NA
"1941","Information / Aggravated Battery","5500 S. Lake Park / Unknown Location",NA,"12/20/15","01:25","Victim in vehicle was shot in the shoulder while driving outside of the UCPD patrol area near West 44th St. and Western Av. / CPD investigation","CPD","E00845","12/20/15",NA,"01:00",NA
"1942","Information / Armed Robbery","5600 S. Stony Island",NA,"12/20/15","01:44","Two unknown males, armed with a handgun, struck the victim and took victim's wallet and jewelry on the public way off-campus / Victim transported to ER for treatment / CPD case HY543680","CPD","E00846","12/20/15",NA,"01:35",NA
"1943","Criminal Trespass to Property","5700 S. Maryland ","CCD","12/20/15","07:06","Unauthorized individual refused to leave building and was given a warning not to trespass","Closed","E00847","12/20/15",NA,"07:00",NA
"1944","Information / Theft from Motor Vehicle","1319 E. Madison Park ","Public Way","12/20/15","10:12","Unknown person(s) entered vehicle parked on the street off-campus and took coins / Referred to CPD","CPD","E00848","12/19/15","12/20/15","21:00","10:00"
"1945","Information / Theft","5721 S. Maryland ","Comer Hospital","12/21/15","00:26","Credit cards and cash taken from unattended purse placed in cabinet in 4th floor nurse's station / Attempted unauthorized use of credit cards reported / CPD cases HY542985 and HY542963","CPD","E00849","12/18/15","12/19/15","23:00","07:00"
"1946","Found Property","5800 S. Ellis",NA,"12/21/15","11:30","Individual turned a set of three keys on a key chain over to UCPD officer / Keys were found on the sidewalk at approximately 1101 E. 57th St./ Inventoried at UCPD","Closed","E00850","12/21/15",NA,"11:30",NA
"1947","Lost Property","924 E. 57th St. ","BSLC","12/21/15","15:32","Individual reports lost wallet","Closed","E00851","12/18/15",NA,"08:30","13:00"
"1948","Criminal Trespass to Land","5530 S. Ellis ","Ratner A.C.","12/21/15","20:34","Individual ignored both oral and written orders not to trespass on University property / Arrested by UCPD","Arrest","E00852","12/21/15",NA,"20:34",NA
"1949","Information / Traffic Crash","5630 S. Ellis",NA,"12/22/15","09:35","UC owned vehicle involved in traffic crash / Property damage only, no injuries reported / MVA00458","Closed","E00853","12/22/15",NA,"09:35",NA
"1950","Lost Property","1100 E. 57th St. ","Regenstein Library","12/22/15","12:46","Individual reports losing wallet while in the library","Closed","E00854","12/22/15",NA,"11:10","11:30"
"1951","Information / Theft from Motor Vehicle","5600 S. Cottage Grove",NA,"12/22/15","19:44","Unknown person(s) smashed window of car parked on the street off campus and took property from the vehicle / Referred to CPD","CPD","E00855","12/22/15",NA,"19:44",NA
"1952","Assist Other Agency / Recovered Motor Vehicle","1219 E. 50th St. ","Public Way","12/22/15","20:35","UCPD officer recovered an unoccupied motor vehicle parked on the street off campus that had been reported stolen to CPD / CPD case HY418581","CPD","E00856","12/22/15",NA,"20:35",NA
"1953","Traffic Accident","5400 S. Ellis",NA,"12/23/15","01:11","Motorist struck an unoccupied vehicle parked on the street off-campus / Property damage only, no injuries reported / MVA00460","Closed","E00857","12/23/15",NA,"01:11",NA
"1954","Theft","6045 S. Kenwood",NA,"12/23/15","14:09","Wallet taken from unattended, unsecured purse placed under a desk in office / Unauthorized use of credit cards reported","Open","E00858","12/22/15",NA,"09:30","16:00"
"1955","Traffic Accident","950 E. 61st St. ","WSSC Parking Lot","12/23/15","15:19","Motorist backed into an unoccupied car in parking lot / Property damage only, no injuries reported / MVA00461","Closed","E00859","12/23/15",NA,"15:15",NA
"1956","Information / Burglary","University between 55th & 56th St.",NA,"12/23/15","16:41","Unknown person(s) forced entry to off-campus private apartment and took currency / CPD case","CPD","E00860","12/15/15","12/23/15","16:00","16:30"
"1957","Battery","901 E. 58th St. ","Mitchell ER","12/24/15","01:08","Staff member was slapped in the face while treating a patient / To be arrested by UCPD after release from the hospital / Suspect also charged with an assault warrant from Sauk Village, IL","Open","E00861","12/24/15",NA,"01:00",NA
"1958","Attempt Theft","970 E. 58th St. ","Bookstore","12/24/15","09:29","Individual attempted to take merchandise from the store without paying / Victim declined to prosecute","Ex. Cleared","E00862","12/24/15",NA,"09:25",NA
"1959","Found Property","5700 S. Lake Shore Dr. ","Park","12/24/15","15:56","Individual found what appears to be a spent bullet near jogging path off campus / Inventoried at UCPD","Closed","E00863","12/24/15",NA,"15:30",NA
"1960","Information / Armed Robbery","1438 E. 53rd St. ","Public Way","12/24/15","16:45","Two unknown suspects, one armed with a handgun, took cash from a victim walking on the street off campus / Victim refused medical attention CPD case","CPD","E00864","12/24/15",NA,"16:45",NA
"1961","Information / Armed Robbery","5405 S. Woodlawn ","Public Way","12/24/15","20:28","Two unknown suspects, one armed with a handgun, took a wallet and cell phone from a victim walking on the street off campus / Victim reported no injuries / CPD case HY549314","CPD","E00865","12/24/15",NA,"20:15",NA
"1962","Information / Traffic Accident","5400 S. Lake Park",NA,"12/27/15","14:10","UC owned vehicle turning southbound on Lake Park brushed a pedestrian in the crosswalk / Pedestrian declined medical attention / CPD case HY551678","Closed","E00867","12/27/15",NA,"14:10",NA
"1963","Information / Medical Call","6031 S. Ellis ","Granville-Grossman RH","12/27/15","22:46","Individual tripped while walking in the hallway striking head on the wall / Refused medical treatment","Closed","E00868","12/27/15",NA,"22:30",NA
"1964","Information / Theft from Motor Vehicle","6000 S. Woodlawn ","Public Way","12/28/15","10:38","Unknown person(s) broke window of car parked on the street and took a radio and raincoat / CPD case","CPD","E00869","12/27/15","12/28/15","21:00","09:50"
"1965","Information","1101 E. 58th St. ","Rosenwald Hall","12/28/15","13:58","Staff member reports receiving annoying phone call","Closed","E00870","12/28/15",NA,"13:50",NA
"1966","Assist Other Agency","4900 S. Lake Park",NA,"12/29/15","02:00","UCPD officer discovered an unoccupied vehicle parked on the street that was wanted in relation to a robbery on the North Side of Chicago / CPD notified / CPD case HY547276","CPD","E00871","12/29/15",NA,"02:00",NA
"1967","Information / Armed Robbery","62nd St. between Kimbark & Kenwood",NA,"12/29/15","21:02","4 unknown suspects, one armed with a handgun, took food and cash from a deliveryman off-campus / Victim reported no injuries / CPD case HY554273","CPD","E00873","12/29/15",NA,"20:55",NA
"1968","Information","5757 S. University ","Saieh Hall","12/30/15","00:27","During a routine building check, UCPD officer discovered an unauthorized individual sitting in a room / Subject checked and warned not to trespass on University property","Closed","E00874","12/30/15",NA,"00:20",NA
"1969","Criminal Damage to Property","6420 S. University ","Woodlawn Elementary School","12/31/15","03:13","UCPD officer, during routine building check, observed recent damage to main entrance doors / Building engineer arrived on scene and was notified","Open","E00876","12/31/15",NA,"03:13",NA
"1970","Traffic Crash","935 E. 54th Pl.",NA,"1/1/16","23:02","UC owned vehicle exiting parking space, slid on ice striking an unattended parked vehicle / No injuries reported / 2016MVA001","Closed","16-00001","1/1/16",NA,"22:55",NA
"1971","Assist Other Agency","1219 E. 53rd St.",NA,"1/1/16","23:39","UCPD officer located, via license plate reader, an unoccupied vehicle that had been reported stolen to CPD / CPD and owner notified","CPD","16-00002","1/1/16",NA,"23:30",NA
"1972","Lost Property","5815 S. Maryland ","Mitchell Hospital","1/2/16","16:17","Patient reports losing cell phone while in the hospital","Closed","16-00003","1/1/16","1/2/16","16:45","16:10"
"1973","Information / Aggravated Battery","63rd & Stony Island",NA,"1/2/16","16:43","A passenger riding in a car off campus was shot by an unknown person shooting from a passing vehicle  / Victim  transported by friends to the ER / CPD case HZ101842","CPD","16-00004","1/2/16",NA,"16:40",NA
"1974","Lost Property","5815 S. Maryland ","Mitchell Hospital","1/3/16","10:27","Patient lost diamond stud nose ring while in hospital","Closed","16-00005","1/1/16","1/2/16","11:30","11:30"
"1975","Information / Burglary","Maryland between 53rd & 54th",NA,"1/3/16","13:32","Unknown person(s) gained entry into off-campus private apartment taking two computers / CPD case","CPD","16-00006","12/12/15","1/3/16","15:00","13:30"
"1976","Assist Other Agency / Recovered Vehicle","5052 S. Blackstone",NA,"1/3/16","20:15","UCPD officer located, via license plate reader, an unoccupied vehicle that had been reported stolen to CPD / CPD case HY513415","CPD","16-00007","1/3/16",NA,"20:15",NA
"1977","Theft","1407 E. 60th St. ","CTS Parking Lot","1/4/16","15:25","Purse taken from unlocked car parked in the rear parking lot while driver was asleep behind the wheel / No theft occurred / Unfounded","Unfounded","16-00008","1/3/16","1/4/16","19:40","01:45"
"1978","Traffic Crash / Hit & Run","5505 S. Ellis ","Parking Structure","1/4/16","19:05","Unknown driver struck parked, unattended car and left without making a report / MVA00004","Closed","16-00009","1/4/16",NA,"08:00","18:45"
"1979","Information / Armed Robbery","1400 E. 53rd St. ","Restaurant","1/4/16","21:30","Unknown suspect armed with a handgun forced employee to hand over cash from register in off-campus sandwich shop / suspect fled with proceeds / No injuries reported / CPD case HZ104209","CPD","16-00013","1/4/16",NA,"21:30",NA
"1980","Battery","1418 E. 53rd St. ","Dunkin Donuts","1/4/16","22:21","During the course of a verbal disagreement, customer threw a plastic bottle and struck employee in off-campus shop / Employee reported no injury / Suspect arrested by UCPD","Arrest","16-00011","1/4/16",NA,"22:20",NA
"1981","Information / Armed Robbery","1400 E. 47th St. ","Dunkin Donuts","1/4/16","23:05","Two unknown suspects, one armed with a handgun, forced employee of off-campus shop to hand over proceeds from cash register / Suspects fled east towards lakefront / No injuries reported / CPD case HZ104278","CPD","16-00012","1/4/16",NA,"23:00",NA
"1982","Domestic Battery","5700 S. Maryland ","CCD","1/5/16","01:56","During the course of an argument wife struck and kicked husband / Victim declined prosecution","Ex. Cleared","16-00014","1/5/16",NA,"01:56",NA
"1983","Theft","1414 E. 59th St. ","I-House","1/5/16","14:10","iPad taken from FedEx package that was delivered to front desk / Subsequent investigation revealed no package was delivered / No theft occurred","Unfounded","16-00016","12/11/15",NA,"15:35",NA
"1984","Traffic Crash","5824 S. Stony Island ","Child Dev. Ctr. Parking Lot","1/5/16","16:41","Two vehicles involved in traffic crash / Property damage only, no injuries reported / 2016MVA00006","Closed","16-00017","1/5/16",NA,"16:30",NA
"1985","Traffic Crash","5824 S. Stony Island ","Child Dev. Ctr. Parking Lot","1/5/16","17:12","Vehicle struck a parked, unattended vehicle in parking lot / Property damage only, no injuries reported / 2016MVA00005","Closed","16-00018","1/5/16",NA,"16:15",NA
