"","Incident","Location","Address","Lat","Long","Occured","Disposition","Notes","temp_inc","lat_long","Latitude","Longitude"
"112","utility incident","illinois institute of technology: main campus:engineering research","55 w 34th street",NA,NA,2015-03-19 09:33:00,NA,"iitpsd responded to the iit incubator, for a report of a generator failure causing a loud explosion. no fire, damage,or injuries occurred.","MEDICAL INCIDENT","41.8325021,-87.6287412",41.8325021,-87.6287412
"113","injured/sick person : emergency medical transport/ambulance : student","illinois institute of technology: main campus:technology park","3424 south state street",NA,NA,2015-03-19 15:00:00,NA,"iitpsd responded to tech park for an emergency medical transport of an iit student thank you","MEDICAL INCIDENT","41.8325159,-87.6271296",41.8325159,-87.6271296
"114","disturbance","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-03-18 15:30:00,NA,"iitpsd responded to 7/11 located in mtcc for a disturbance involving a member of the general public.","DISTURBANCE","41.8330588,-87.623592",41.8330588,-87.623592
"115","assault-simple : verbal commands","illinois institute of technology: main campus: 3424",NA,NA,NA,2015-03-18 15:50:00,NA,"iitpsd responded to ycla for a simple assault against a teacher. thank you","ASSAULT","NA",NA,NA
"116","damage to property","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-03-17 00:24:00,NA,"iitpsd responded to the tower for a door which had glass blown out by the wind.","DAMAGE TO PROPERTY","41.8313959,-87.6272312",41.8313959,-87.6272312
"117","accident : motor vehicle","illinois institute of technology: main campus: d5 lot","e 34th and south wabash","41.831964","-87.625441",2015-03-17 09:30:00,NA,"iitpsd responded to technology park, for a report of a minor motor vehicle accident that occurred in the d5 parking lot. thank you","ACCIDENT","41.8328558,-87.6250128",41.8328558,-87.6250128
"118","trespassing : criminal trespass to land","illinois institute of technology: main campus: stuart building","10 west 31st street",NA,NA,2015-03-13 00:55:00,NA,"a member of the general public was found trespassing in the stuart building on the second floor.","TRESPASS","41.8387343,-87.6273991",41.8387343,-87.6273991
"119","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: perlstein hall","10 west 33rd street",NA,NA,2015-03-13 20:54:00,NA,"iitpsd responded to perlstein hall for non-emergence medical transport of an iit student.","MEDICAL INCIDENT","41.835479,-87.6271529",41.835479,-87.6271529
"120","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: gunsaulus hall","3140 south michigan ave",NA,NA,2015-03-14 00:20:00,NA,"iitpsd responded to gunsaulus hall for an non emergency medical transport of an iit student. thank you","MEDICAL INCIDENT","41.837081,-87.623923",41.837081,-87.623923
"121","damage to property","illinois institute of technology: main campus: mccormick tribune campus center","3360 south michigan ave",NA,NA,2015-03-12 11:25:00,NA,"iitpsd responded to mccormick tribune campus center for a report of damage to property.","DAMAGE TO PROPERTY","41.8330588,-87.623592",41.8330588,-87.623592
"122","disorderly / reckless conduct","illinois institute of technology:: off campus location",NA,NA,NA,2015-03-12 16:00:00,NA,"iitpsd responded to a physical altercation involving members of the general public.","BATTERY","NA",NA,NA
"123","disturbance","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-03-12 16:00:00,NA,"investigation of a disturbance at kent college of law. thank you","DISTURBANCE","41.8791377,-87.6422057",41.8791377,-87.6422057
"124","alarm : fire","illinois institute of technology: main campus: state street village","3301 south state",NA,NA,2015-03-11 10:58:00,NA,"iitpsd responded to state street village middle, for a report of a fire alarm activation. the chicago fire department determined the alarm to be false.","ALARM","41.8346518,-87.6264893",41.8346518,-87.6264893
"125","larceny/theft : other","illinois institute of technology: main campus: hermann union building","3241 south federal street",NA,NA,2015-03-11 14:09:00,NA,"iitpsd responded to hermann hall, for a report of a theft in progress. offender was detained and the property was recovered.","THEFT","41.8356669,-87.6283867",41.8356669,-87.6283867
"126","utility incident : elevator : entrapment","illinois institute of technology: main campus: stuart building","10 west 31st street",NA,NA,2015-03-11 16:00:00,NA,"iitpsd responded to the stuart building for an elevator entrapment. thank you","UTILITY INCIDENT","41.8387343,-87.6273991",41.8387343,-87.6273991
"127","larceny/theft : bicycles","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-03-10 12:05:00,NA,"iitpsd responded to farr hall, 3300 s. michigan, for a report of a stolen bicycle.","THEFT","41.8355909,-87.6249574",41.8355909,-87.6249574
"128","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus:: mccormick student village","3241 south wabash ave",NA,NA,2015-03-10 15:10:00,NA,"iitpsd responded to a non-emergency medical transport involving an iit student. thank you","MEDICAL INCIDENT","41.8355909,-87.6249574",41.8355909,-87.6249574
"129","miscellaneous incident","illinois institute of technology: main campus: galvin library","35 west 33rd street",NA,NA,2015-03-09 00:15:00,NA,"iitpsd responded to galvin library regarding the misuse of an id card by a shimmer student.","OTHER","41.8346762,-87.6275327",41.8346762,-87.6275327
"130","administrative information","illinois institute of technology: off campus location","3241 south federal street",NA,NA,2015-03-09 10:00:00,NA,"iitpsd responded to hermann hall to take an off campus theft report.","THEFT","41.8356669,-87.6283867",41.8356669,-87.6283867
"131","suspicious activity","illinois institute of technology: off campus location",NA,NA,NA,2015-03-09 14:00:00,NA,"iitpsd took a suspicious activity report involving an iit student at an off campus location.","SUSPICION","NA",NA,NA
"132","utility incident : elevator : entrapment","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-03-09 19:12:00,NA,"elevator entrapment at kent college of law thank you","UTILITY INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"133","administrative information","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-03-06 15:30:00,NA,"iit public safety escorted a kent faculty member to the physicians immediate care clinic,600 west adams st., chicago, il","MEDICAL INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"134","injured/sick person : non-emergency medical transport","illinois institute of technology: main campus: crown hall","3360 south state street",NA,NA,2015-03-07 18:28:00,NA,"iitpsd responded to crown hall for a non-emergence medical transport. thank you","MEDICAL INCIDENT","41.8332815,-87.6272979",41.8332815,-87.6272979
"135","accident : motor vehicle","illinois institute of technology: main campus:: tower","10 west 35th street",NA,NA,2015-03-05 15:20:00,NA,"minor accident involving iitpsd patrol vehicle.","ACCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"136","injured/sick person : emergency medical transport/ambulance : student","illinois institute of technology: main campus: keating sports center","3040 south wabash ave",NA,NA,2015-03-05 21:20:00,NA,"iitpsd responded to keating gym for a medical emergency involving an iit student.","MEDICAL INCIDENT","41.838997,-87.6255751",41.838997,-87.6255751
"137","injured/sick person : emergency medical transport/ambulance","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-03-05 21:25:00,NA,"emergency medical transport for a member of the general public from kent college of law thank you","MEDICAL INCIDENT","41.8791377,-87.6422057",41.8791377,-87.6422057
"138","disturbance","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-03-04 12:48:00,NA,"iitpsd responded to mccormick student village, 3241 s. wabash, for a report of a disturbance involving two iit students.","DISTURBANCE","41.8355909,-87.6249574",41.8355909,-87.6249574
"139","injured/sick person : emergency medical transport/ambulance : student","illinois institute of technology: main campus:: mccormick student village","3241 south wabash ave",NA,NA,2015-03-04 23:00:00,NA,"iitpsd responded to msv for an emergency medical transport of an iit student. thank you","MEDICAL INCIDENT","41.8355909,-87.6249574",41.8355909,-87.6249574
"140","accident : motor vehicle","illinois institute of technology: off campus location",NA,NA,NA,2015-03-03 16:00:00,NA,"minor hit & run accident involving an iitpsd vehicle. thank you","ACCIDENT","NA",NA,NA
"141","injured/sick person : non-emergency medical transport : student","illinois institute of technology: main campus: keatingsports center","3040 south wabash ave",NA,NA,2015-02-27 11:45:00,NA,"iitpsd responded to keating gym for a report of an iit student requesting transport to mercy hospital.","MEDICAL INCIDENT","41.838997,-87.6255751",41.838997,-87.6255751
"142","larceny/theft : other","illinois institute of technology: main campus: hermann union building","3241 south federal street",NA,NA,2015-02-28 17:56:00,NA,"iitpsd responded to hermann hall for a theft from a sodexo emplyee.","THEFT","41.8356669,-87.6283867",41.8356669,-87.6283867
"143","injured/sick person : non-emergency medical transport","illinois institute of technology: main campus:: 3424",NA,NA,NA,2015-02-28 20:30:00,NA,"iitpsd responded to 3424 for a non-emergence medical transport thank you","MEDICAL INCIDENT","NA",NA,NA
"144","battery-simple","illinois institute of technology: off campus location",NA,NA,NA,2015-04-29 09:28:00,NA,"iitpsd responded to 33rd and the red line for a report of an iit faculty member being involved in an argument/ simple battery.","BATTERY","NA",NA,NA
"145","fire","illinois institute of technology: main campus: other: cta: green line – 34th","e 34th street and south state","41.83285","-87.625893",2015-04-29 16:50:00,NA,"iitpsd responded to 34th/green line for a dumpster fire. thank you","ALARM","41.8328367,-87.6264468",41.8328367,-87.6264468
"146","larceny/theft : other","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-04-28 10:05:00,NA,"suspected theft from kent college of law.","THEFT","41.8791377,-87.6422057",41.8791377,-87.6422057
"147","utility incident : water","illinois institute of technology: main campus: alumni hall","3201 south dearborn street",NA,NA,2015-04-28 12:30:00,NA,"iitpsd responded to water leak at alumni hall. thank you","UTILITY INCIDENT","41.836184,-87.6273619",41.836184,-87.6273619
"148","suspicious activity","illinois institute of technology: parking lot","3241 south federal street",NA,NA,2015-04-27 08:30:00,NA,"iitpsd responded to hermann hall for a report of a member of the general public observed in an employee’s vehicle. thank you","SUSPICION","41.8356669,-87.6283867",41.8356669,-87.6283867
"149","larceny/theft : other","illinois institute of technology: main campus: mtcc","3201 south state street",NA,NA,2015-04-24 13:20:00,NA,"iitpsd responded to the mccormick tribune campus center for a report of a theft.","THEFT","41.8356712,-87.6258154",41.8356712,-87.6258154
"150","injured/sick person","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-04-25 19:00:00,NA,"iitpsd responded to tower for a injured member of the general public.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"151","drug/narcotic offense","illinois institute of technology: main campus: mccormick student village","3241 south wabash ave",NA,NA,2015-04-25 21:30:00,NA,"iitpsd responded to msv for a smell of marijuana.","NARCOTICS","41.8355909,-87.6249574",41.8355909,-87.6249574
